source,reference,prediction
"Diejenigen, die leistungsstarke Kinder untersuchen, sagen, diese haben oft eine natürliche Affinität für die Schule und einen ihnen innewohnenden Antrieb zum Erfolg.",Those who study high achievers say they often have a natural affinity for school and an innate drive to succeed.,Those who study high-achieving children say that they often have a natural affinity for school and an innate drive for success.
Bis zu 2000 Arbeitsplätze in der Anlage von Alcoa in Portland stehen auf dem Spiel.,Up to 2000 jobs may be at risk at Alcoa's Portland plant.,"Up to 2,000 jobs at the Alcoa plant in Portland are at stake."
"Im Mai veröffentlichte die Agentur die Ergebnisse von 581 Tests und sagte, dass es 442 Fälle gebe, die ""vorschlagen, dass die untersuchte Person 18 Jahre oder älter sei"".","In May, the agency released the results of 581 tests and said that there were 442 instances that ""suggest the person examined is 18 years or older.""","In May, the agency published the results of 581 tests and said that there were 442 cases that ""suggest that the person being investigated is 18 years of age or older."""
Ivanov war viele Jahre Teil des engsten Vertrauenskreises von Putin.,Mr Ivanov has been part of Mr Putin's trusted inner circle for many years.,Ivanov was for many years a member of Putin’s inner circle of confidants.
"Mr. Trump beendete den Anruf, nachdem er Herrn Turnbull gesagt hatte, ""das ist der unangenehmste Anruf für den ganzen Tag.""","Mr Trump ended the call after telling Mr Turnbull ""this is the most unpleasant call all day.""","Mr. Trump ended the call after saying to Mr. Turnbull, ""this is the most unpleasant call all day."""
"Darüber hinaus gibt es bei der Defender Challenge einen Trainings- und Testtag im Februar sowie die Option, an Wüstenrennen in Nordafrika und dem Nahen Osten teilzunehmen.","Additionally, the Defender Challenge will provide a training and test day in February, as well as the option to compete in desert events in North Africa and the Middle East.","In addition to the Defender Challenge, there is a training and test day in February as well as the option to participate in desert races in North Africa and the Middle East."
"Die tschechische Armee kaufte Aero 72 Maschinen ab, von denen sie nur 24 verwendet, den Rest wollte sie veräußern.",Czech Army has purchased 72 aircrafts from Aero and uses only 24; they would like to sell the remaining ones.,"The Czech army bought 72 Aero machines, of which they only used 24, the rest they wanted to sell."
"Eigene mobile Telefondienstleistungen bieten zum Beispiel Amway, Bohemia Telecom, Starlife und andere.","For example, Amway, Bohemia Telecom, Starlife and a number of others offer their own mobile telephone services.","For example, Amway, Bohemia Telecom, Starlife and others offer their own mobile phone services."
"Im Vergleich zu Nichtrauchern lag bei Rauchern das Risiko, ihre Zähne vorzeitig zu verlieren, um das 2,5- bis 3,6-Fache höher.","Compared to non-smokers, the risk of losing their teeth prematurely is between 2.5 and 3.6 times higher for smokers.","Compared to non-smokers, the risk of smokers losing their teeth prematurely was 2.5 to 3.6 times higher."
Zu jener Zeit schrieb er pro Woche zwei Kolumnen in der Murdoch-Presse.,"At the time, he wrote two columns in the Murdoch press each week.",At that time he wrote two columns a week in the Murdoch press.
