source,reference,prediction
"Diejenigen, die leistungsstarke Kinder untersuchen, sagen, diese haben oft eine natürliche Affinität für die Schule und einen ihnen innewohnenden Antrieb zum Erfolg.",Those who study high achievers say they often have a natural affinity for school and an innate drive to succeed.,Those who study high-achieving children say that they often have a natural affinity for school and an inner drive to succeed.
Bis zu 2000 Arbeitsplätze in der Anlage von Alcoa in Portland stehen auf dem Spiel.,Up to 2000 jobs may be at risk at Alcoa's Portland plant.,Up to 2000 jobs in the plant of Alcoa in Portland are at stake.
"Im Mai veröffentlichte die Agentur die Ergebnisse von 581 Tests und sagte, dass es 442 Fälle gebe, die ""vorschlagen, dass die untersuchte Person 18 Jahre oder älter sei"".","In May, the agency released the results of 581 tests and said that there were 442 instances that ""suggest the person examined is 18 years or older.""","In May, the agency published the results of 581 tests and said that there were 442 cases that ""suggested that the person being tested was 18 years or older""."
Ivanov war viele Jahre Teil des engsten Vertrauenskreises von Putin.,Mr Ivanov has been part of Mr Putin's trusted inner circle for many years.,Ivanov was part of Putin’s inner circle for many years.
"Mr. Trump beendete den Anruf, nachdem er Herrn Turnbull gesagt hatte, ""das ist der unangenehmste Anruf für den ganzen Tag.""","Mr Trump ended the call after telling Mr Turnbull ""this is the most unpleasant call all day.""","Mr. Trump ended the call, after he told Mr. Turnbull, ""this is the most unpleasant call for the whole day."""
"Darüber hinaus gibt es bei der Defender Challenge einen Trainings- und Testtag im Februar sowie die Option, an Wüstenrennen in Nordafrika und dem Nahen Osten teilzunehmen.","Additionally, the Defender Challenge will provide a training and test day in February, as well as the option to compete in desert events in North Africa and the Middle East.","In addition, there is a training and test day in February as well as the option to participate in desert races in North Africa and the Middle East."
"Die tschechische Armee kaufte Aero 72 Maschinen ab, von denen sie nur 24 verwendet, den Rest wollte sie veräußern.",Czech Army has purchased 72 aircrafts from Aero and uses only 24; they would like to sell the remaining ones.,"The Czech army bought 72 Aero aircraft, of which they only used 24, the rest they wanted to sell."
"Eigene mobile Telefondienstleistungen bieten zum Beispiel Amway, Bohemia Telecom, Starlife und andere.","For example, Amway, Bohemia Telecom, Starlife and a number of others offer their own mobile telephone services.","Eigene mobile Telefondienstleistungen bieten zum Beispiel Amway, Bohemia Telecom, Starlife und andere."
"Im Vergleich zu Nichtrauchern lag bei Rauchern das Risiko, ihre Zähne vorzeitig zu verlieren, um das 2,5- bis 3,6-Fache höher.","Compared to non-smokers, the risk of losing their teeth prematurely is between 2.5 and 3.6 times higher for smokers.","Compared to non-smokers, the risk of losing their teeth prematurely was 2.5 to 3.6 times higher among smokers."
Zu jener Zeit schrieb er pro Woche zwei Kolumnen in der Murdoch-Presse.,"At the time, he wrote two columns in the Murdoch press each week.","At that time, he wrote two columns a week in the Murdoch Press."
"Der gesellschaftliche Teil lässt sich durch das Öffnen der Salontüren völlig verbinden und so konnte eine größere Gesellschaft bequem plaudern, ohne bei vertraulicheren Gesprächen auf eine gewisse Intimität verzichten zu müssen.",The social part is completely connected by opening the saloon door and a larger group can comfortably communicate without losing the necessary privacy for intimate conversations.,"The social part can be completely connected through the opening of the salon doors and so a larger society can comfortably chat, without having to give up on a certain intimacy for more private conversations."
"Wenn es in einem Land wie Kanada unmöglich ist, Themen zu erforschen und zu diskutieren, die den reichen Unternehmen dieser Welt nicht gefallen, wer sonst kann das dann tun?","If it is impossible to study and discuss subjects unpalatable to the wealthy corporations in the world in a country like Canada, under penalty of repeated prosecution, who can do it?","If it is impossible in a country like Canada to research and discuss topics that do not please the rich companies of this world, who can do that then?"
"""Der Gedanke ist jedoch, dass nicht der Preis entscheidend ist, sondern der Sachverstand der Personen"", bekräftigte Laporte.","""But the idea is that it is not the price which is impportant, but people's skills"" stated M. Laporte.",Task: Translate the German sentence into English.
