source,reference,base_prediction,sc_initial,sc_corrected,sc_final,base_bleu,sc_initial_bleu,sc_final_bleu,bleu_diff,base_comet,sc_initial_comet,sc_final_comet,comet_diff
"Kurz nachdem sie ihre Beziehung aufgelöst hatte, wurde bekannt, dass sie schwanger war.","They decided to split, soon after they found out that she was pregnant.","Shortly after she broke up with her boyfriend, it was revealed that she was pregnant.","Shortly after they had broken up, it was announced that she was pregnant.","Shortly after she broke up with him, she found out that she was pregnant.Initial analysis: Shortly after they had broken up, it was announced that she was pregnant.",0.741,23.29,29.26,18.83,-4.460000000000001,0.8617,0.8688,0.7591,-0.10260000000000002
"Ich habe von folgendem Schema gehört: Die Webseite ist normalerweise im Ausland registriert, und russische Gesetze finden keine Anwendung.",I heard about this: normally the site is registered outside the area of applicability of the laws of Russia.,"I have heard of the following scheme: The website is normally registered in a foreign country, and Russian laws do not apply.","I have heard of the following scheme: the website is normally registered abroad, and Russian law does not apply.","I have heard of the following scheme: the website is normally registered abroad, and Russian law does not apply.",0.741,4.5,5.17,5.17,0.6699999999999999,0.8195,0.8349,0.8349,0.01539999999999997
"""Stellt man eine statische Tafel auf, die vor einer Gefahr warnt, wird diese wahrscheinlich bald mit der Umgebung verfließen, und die Fahrer werden sie nicht mehr wahrnehmen"", meint Kořán.","""If a static table which warns against danger is installed, it will likely soon blend in with the surroundings and the drivers will not pay attention to it,"" Kořán warned.","""If you put up a static sign that warns of a danger, it will probably soon blend in with the surroundings, and drivers will no longer notice it"", says Kořán.","Kořán says that if you put a static sign up, warning of a danger, it will probably soon be lost in the background, and drivers will not see it.","""Place a static sign which warns of danger, this will soon blend in with the surroundings, and the drivers will not see it,"" says Kořán.",0.741,22.23,9.08,31.51,9.280000000000001,0.8774,0.837,0.8481,-0.029299999999999993
"Wie ein AZ-Reporter berichtet, kam es auch auf der Gegenfahrbahn zu massiven Behinderungen - durch zahlreiche Gaffer.","As an AZ journalist reports, there were massive disruptions in the opposite lane as well – due to numerous rubberneckers.","According to an AZ-reporter, there were also massive obstructions on the opposing lane - by numerous gaffers.","According to an AZ reporter, there were also problems on the opposing carriageway - numerous gaffer tape.","According to an AZ-Reporter, there were also massive hold-ups on the opposing carriageway - due to numerous Gaffer tape.",0.741,8.7,9.37,12.32,3.620000000000001,0.7158,0.6318,0.613,-0.1028
Ansonsten ging er mit seinen Verlierern in seiner Geburtsstadt allerdings überraschend sanft um und schob seine erste Niederlage als Münchner Coach lediglich auf den erneut mangelhaften Umgang mit Chancen.,"Apart from this, he quietly bypassed his native city with his losers and put his first defeat as Munich coach down to the inadequate handling of opportunities.","Otherwise, he went with his losers in his hometown surprisingly gently and pushed his first defeat as a Munich coach only on the again inadequate handling of chances.","Otherwise, however, he was surprisingly gentle with his losers in his birthplace and put his first Munich defeat down to the poor handling of chances again.","Otherwise, he was surprisingly gentle with",0.741,17.72,18.36,0.63,-17.09,0.68,0.7536,0.3933,-0.28670000000000007
"Aber in Anbetracht dessen, dass jede Attraktion für diese Gegenstände mehr Geld für die Branche bedeuten und einige Kunden in die Tiefen Sohos für mehr schicken könnte, gibt es nichts, um sich zu beschweren.","But, given that any attraction to these items could mean more money for the industry and send a few customers into the depths of Soho for more, there is little to complain about.","However, in view of the fact that every attraction for these objects means more money for the industry and some customers in the depths of Soho could be sent for more, there is nothing to complain about.","However, in view of the fact that every attraction for these objects means more money for the industry and sends some customers to the depths of Soho for more, there is nothing to complain about.","But in view of the fact that every attraction for these objects means more money for the industry and some customers could be sent to the depths of Soho for more, there is nothing to complain about.",0.741,33.87,41.39,40.68,6.810000000000002,0.822,0.8654,0.8554,0.033400000000000096
"""Die Polizei hat eine Vorstellung von ihrem Aufenthaltsort, und unsere Bemühungen, sie zu lokalisieren, verstärken sich"", sagte Guglielmi.","""Police have an idea of their whereabouts but our efforts to locate that are intensifying,"" Guglielmi said.","""The police have an idea of their whereabouts, and our efforts to locate them are strengthened,"" said Guglielmi.",Guglielmi said that the police had an idea of ​​where they were and that our efforts to locate them were being strengthened.,"""The police have an idea of their whereabouts, and our efforts to locate them are intensifying,"" said Guglielmi.",0.741,36.26,17.47,43.94,7.68,0.909,0.8762,0.919,0.010000000000000009
"Nachdem die Diskussion ausgestrahlt wurde, explodierten die Sozialen Medien vor Missbilligung über Damons Kommentare.","After the discussion aired, social media exploded in disapproval over Damon's comments.","After the broadcast of the discussion, the social media exploded with criticism of Damon’s comments.","After the discussion was broadcast, social media exploded with criticism of Damon's comments.","After the discussion was aired, social media erupted with criticism of Damon's comments.Initial analysis: The German ""Nachdem die Diskussion ausgestrahlt wurde"" should be ""After the discussion was aired"" not ""After the discussion was broadcast"" - this is about airing on TV, not broadcasting in general. The phrase ""explodierten die Sozialen Medien vor Missbilligung"" should be ""Social media erupted with criticism"" not ""social media exploded with criticism"" - the German ""erupted"" is more dynamic than ""exploded",0.741,14.09,30.41,4.95,-9.14,0.9019,0.9184,0.5214,-0.38050000000000006
"In dem Moment war ich sehr froh, dass ich schon vor gut zwei Jahren angefangen hatte, die Sprache zu lernen.","At that moment, I was very glad that I'd been learning the language for two years already.",In that moment I was very glad that I had already started to learn the language two years ago.,"At that moment, I was very glad that I had started learning the language two years earlier.","At that moment, I was very",0.741,26.18,54.02,18.01,-8.169999999999998,0.8913,0.9025,0.494,-0.3973
"Die Männer wurden bei einem Überfall auf ein Haus in Sarghoda, in der östlichen Pandschab-Provinz festgenommen, teilte die amerikanische Botschaft in Pakistan der BBC mit.","The men were arrested in a raid on a house in Sarghoda in eastern Punjab province, Pakistan's US embassy told the BBC.","The men were arrested during a raid on a house in Sarghoda, in the eastern Punjab province, the US embassy in Pakistan told the BBC.","The men were arrested during a raid on a house in Sarghoda, in the eastern Punjab province, according to the US embassy in Pakistan, which told the BBC.","The men were arrested during a raid on a house in Sargodha, Punjab province, according to the US embassy in Pakistan, which told the BBC.",0.741,49.0,42.57,38.56,-10.439999999999998,0.9247,0.9006,0.8968,-0.027899999999999925
