source,reference,base_prediction,sc_initial,sc_corrected,sc_final,base_bleu,sc_initial_bleu,sc_final_bleu,bleu_diff,base_comet,sc_initial_comet,sc_final_comet,comet_diff
"Kurz nachdem sie ihre Beziehung aufgelöst hatte, wurde bekannt, dass sie schwanger war.","They decided to split, soon after they found out that she was pregnant.","Shortly after she ended her relationship, it became known that she was pregnant.","Shortly after she had broken off her relationship, it was announced that she was pregnant.","Shortly after she had ended her relationship, it was announced that she was pregnant.",0.838,26.76,23.29,24.9,-1.860000000000003,0.881,0.8277,0.8615,-0.019499999999999962
"Ich habe von folgendem Schema gehört: Die Webseite ist normalerweise im Ausland registriert, und russische Gesetze finden keine Anwendung.",I heard about this: normally the site is registered outside the area of applicability of the laws of Russia.,"I heard of the following schema: The website is usually registered abroad, and Russian laws do not apply.","I have heard of the following scheme: the website is usually registered abroad, and Russian law does not apply.","I have heard of this scheme: The website is usually registered in other countries, and Russian laws do not apply.",0.838,6.29,5.03,2.85,-3.44,0.8029,0.8278,0.8262,0.0233000000000001
"""Stellt man eine statische Tafel auf, die vor einer Gefahr warnt, wird diese wahrscheinlich bald mit der Umgebung verfließen, und die Fahrer werden sie nicht mehr wahrnehmen"", meint Kořán.","""If a static table which warns against danger is installed, it will likely soon blend in with the surroundings and the drivers will not pay attention to it,"" Kořán warned.","According to Kořán, if a static warning table is placed in front of a danger, it is likely that it will soon disappear with the environment, and drivers will not notice it anymore.","Kořán says that if you put up a static sign warning of danger, it will probably soon disappear into the environment and the drivers will not see it.","""If you put up a static warning board, it will probably soon disappear into the environment and the drivers will not see it,"" says Kořán.",0.838,8.03,16.26,19.62,11.590000000000002,0.8463,0.8218,0.8146,-0.03170000000000006
"Wie ein AZ-Reporter berichtet, kam es auch auf der Gegenfahrbahn zu massiven Behinderungen - durch zahlreiche Gaffer.","As an AZ journalist reports, there were massive disruptions in the opposite lane as well – due to numerous rubberneckers.","According to an AZ reporter, there were also massive obstructions on the opposite lane - due to numerous gaffers.","According to an AZ reporter, there were also massive delays on the opposite carriageway due to numerous accidents.","According to an AZ reporter, there was also massive congestion on the opposite direction due to numerous clowns.",0.838,16.74,14.27,11.22,-5.519999999999998,0.7729,0.7605,0.6555,-0.11740000000000006
Ansonsten ging er mit seinen Verlierern in seiner Geburtsstadt allerdings überraschend sanft um und schob seine erste Niederlage als Münchner Coach lediglich auf den erneut mangelhaften Umgang mit Chancen.,"Apart from this, he quietly bypassed his native city with his losers and put his first defeat as Munich coach down to the inadequate handling of opportunities.","Nevertheless, he went with his losers in his hometown surprisingly gently and pushed his first defeat as a Munich coach only onto the again poor handling of chances.","Otherwise, he went surprisingly gently with his losers in his birthplace and his first Munich defeat was simply a result of a poor performance.","However, he went surprisingly soft on his losers in his hometown and his first Munich defeat was simply a result of a poor performance.",0.838,15.78,8.22,5.3,-10.48,0.6922,0.7222,0.7289,0.036699999999999955
"Aber in Anbetracht dessen, dass jede Attraktion für diese Gegenstände mehr Geld für die Branche bedeuten und einige Kunden in die Tiefen Sohos für mehr schicken könnte, gibt es nichts, um sich zu beschweren.","But, given that any attraction to these items could mean more money for the industry and send a few customers into the depths of Soho for more, there is little to complain about.","However, since every attraction for these things would bring more money to the industry and some customers into the depths of Soho for more, there is nothing to complain about.","But in view of the fact that every attraction for these things means more money for the industry and some customers into the depths of Soho for more, there is nothing to complain about.","However, given that every attraction for these things means more money for the industry and some customers into the depths of Soho for more, there is nothing to complain about.",0.838,41.82,48.92,51.56,9.740000000000002,0.8428,0.8394,0.8506,0.007800000000000029
"""Die Polizei hat eine Vorstellung von ihrem Aufenthaltsort, und unsere Bemühungen, sie zu lokalisieren, verstärken sich"", sagte Guglielmi.","""Police have an idea of their whereabouts but our efforts to locate that are intensifying,"" Guglielmi said.","""The police have an idea of their location, and our efforts to locate them are intensifying,"" said Guglielmi.","Guglielmi said: 'The police have an idea of where they are, and our efforts to locate them are intensifying'.","""The police have an idea of where they are staying, and our efforts to find them are intensifying,"" said Guglielmi.",0.838,38.69,25.38,25.07,-13.619999999999997,0.911,0.8972,0.8946,-0.01640000000000008
"Nachdem die Diskussion ausgestrahlt wurde, explodierten die Sozialen Medien vor Missbilligung über Damons Kommentare.","After the discussion aired, social media exploded in disapproval over Damon's comments.","After the discussion was broadcast, there was an explosion of criticism on social media about Damon's comments.","After the discussion was broadcast, social media erupted in condemnation of Damon's comments.","After the discussion was aired, social media erupted in condemnation of Damon's comments.",0.838,14.83,22.89,31.14,16.310000000000002,0.8947,0.9163,0.9203,0.025599999999999956
"In dem Moment war ich sehr froh, dass ich schon vor gut zwei Jahren angefangen hatte, die Sprache zu lernen.","At that moment, I was very glad that I'd been learning the language for two years already.","At that moment, I was very happy that I had started learning the language two years ago.","At that moment, I was very glad that I had started learning the language two years ago.","At that moment, I was very happy that I had already started learning the language two years ago.",0.838,42.46,54.02,40.86,-1.6000000000000014,0.8968,0.8985,0.907,0.010199999999999987
"Die Männer wurden bei einem Überfall auf ein Haus in Sarghoda, in der östlichen Pandschab-Provinz festgenommen, teilte die amerikanische Botschaft in Pakistan der BBC mit.","The men were arrested in a raid on a house in Sarghoda in eastern Punjab province, Pakistan's US embassy told the BBC.","The men were arrested during a raid on a house in Sarghoda, in the eastern province of Khyber Pakhtunkhwa, the US embassy in Pakistan told the BBC.","The men were arrested following an attack on a house in Sarghoda, in the eastern province of Khyber Pakhtunkhwa, the US Embassy in Pakistan told the BBC.","The men were detained following an attack on a house in Sarghoda, in the eastern Peshawar province, said the US embassy in Pakistan to the BBC.",0.838,39.15,29.99,23.71,-15.439999999999998,0.8802,0.8493,0.8684,-0.011800000000000033
"Nach einem Besuch des Hauptquartiers der Organisation in Moskau im Juli erklärte WADA-Generaldirektor Olivier Niggli, dass RUSADA sich ""in die richtige Richtung"" bewegt, um wieder eingesetzt zu werden.","Following a visit to the organization's headquarters in Moscow in July, WADA Director General Olivier Niggli stated that RUSADA is ""moving in the right direction"" to be reinstated.","After a visit to the headquarters of the organization in Moscow in July, WADA General Director Olivier Niggli declared that RUSADA was ""moving in the right direction"" to be reinstated.","Following a visit to the headquarters of the Organisation in Moscow in July, WADA Director-General Olivier Niggli declared that RUSADA was 'moving in the right direction' to be reinstated.","Following a visit to the headquarters of the Organisation in Moscow in July, WADA-General Director Olivier Niggli stated that RUSADA is ""moving in the right direction"" in order to be reinstated.",0.838,54.86,40.04,62.36,7.5,0.9083,0.8956,0.8875,-0.02080000000000004
"Wortkarg gab er sich, der Coach des Fußball-Bezirksligisten VfL Wolbeck, zog sich erst mal (innerlich) zurück, um über die fehlende Leistungsbereitschaft auf dem Grün zu sinnieren.","Silently, the coach of the football district league club VfL Wolbeck first retreated (inwardly) to ponder over the lack of motivation on the playing field.","The coach of the football district league team VfL Wolbeck, who was carrying a heavy word load, withdrew (internally) for a moment to think about the lack of performance readiness on the green.","He was wordless, the coach of the football district league VfL Wolbeck, he withdrew (inwardly) to think about the lack of performance on the green.","He was speechless, the coach of the VfL Wolbeck district league football club, he withdrew (inwardly) to think about the lack of performance on the green.",0.838,19.24,38.94,27.84,8.600000000000001,0.7327,0.7625,0.7738,0.041100000000000025
"Mit Blick auf die deutliche Zunahme von rechtsmotivierten Straftaten und Angriffen auf Asylbewerber und Flüchtlingsunterkünfte sagte Maaßen, er würde in diesem Zusammenhang noch nicht von neuem rechten Terrorismus sprechen.","With regard to the clear increase in right-wing crimes and attacks on asylum seekers and refugee shelters, Maaßen said that he would not yet speak of a new right-wing terrorism.","Considering the clear increase in right-motivated crimes and attacks on asylum seekers and refugee shelters, Maaßen stated that he would not use the term ""right-wing terrorism"" again in this context.","Maaßen said that, given the clear increase in right-wing crimes and attacks on asylum seekers and refugee centres, he would not speak of new right-wing terrorism.","Given the clear increase in crimes motivated by the right and attacks on asylum seekers and refugee shelters, Maaßen said he would not speak of new right-wing terrorism.",0.838,45.72,56.17,52.75,7.030000000000001,0.8382,0.8809,0.8694,0.031200000000000006
"Michael Hesemann: Wir Historiker reden da vom ""Fallstrick des Anachronismus"", also der Gefahr, Vergangenes nach heutigen moralischen Maßstäben zu bewerten.","Michael Hesemann: We historians talk here about ""the pitfall of anachronism"", that is, the danger of evaluating the past according to today's moral standards.","Michael Hesemann: We historians talk there about the ""Fallstrick des Anachronismus"", also the danger of evaluating the past according to today's moral standards.","Michael Hesemann: We historians are talking about the 'trap of anachronism', that is, the danger of judging the past by present moral standards.","Michael Hesemann: We historians are talking about the 'trap of anachronism', that is, the danger of judging the past by present moral standards.",0.838,56.3,38.24,38.24,-18.059999999999995,0.8218,0.8891,0.8891,0.06730000000000003
