source,reference,base_prediction,sc_initial,sc_corrected,sc_final,base_bleu,sc_initial_bleu,sc_final_bleu,bleu_diff,base_comet,sc_initial_comet,sc_final_comet,comet_diff
"Kurz nachdem sie ihre Beziehung aufgelöst hatte, wurde bekannt, dass sie schwanger war.","They decided to split, soon after they found out that she was pregnant.","Shortly after she had dissolved her relationship, it became known that she was pregnant.","Shortly after she had ended her relationship, it was announced that she was pregnant.","Shortly after she had ended her relationship, it was announced that she was pregnant.",0.824,24.9,24.9,24.9,0.0,0.8447,0.8615,0.8615,0.016800000000000037
"Ich habe von folgendem Schema gehört: Die Webseite ist normalerweise im Ausland registriert, und russische Gesetze finden keine Anwendung.",I heard about this: normally the site is registered outside the area of applicability of the laws of Russia.,"I have heard of the following scheme: The website is usually registered abroad, and Russian laws do not apply.","I have heard of the following scheme: the website is normally registered abroad, and Russian laws do not apply.","I have heard of the following scheme: The website is usually registered in a foreign country, and Russian law does not apply.",0.824,5.03,5.29,4.26,-0.7700000000000005,0.8205,0.8363,0.8119,-0.008600000000000052
"""Stellt man eine statische Tafel auf, die vor einer Gefahr warnt, wird diese wahrscheinlich bald mit der Umgebung verfließen, und die Fahrer werden sie nicht mehr wahrnehmen"", meint Kořán.","""If a static table which warns against danger is installed, it will likely soon blend in with the surroundings and the drivers will not pay attention to it,"" Kořán warned.","""If you put up a static sign warning of a danger, it will probably blend in with the surroundings soon, and the drivers will no longer notice it,"" says Kořán.","Mr Kořán says that if a static sign is put up to warn of a danger, it will probably soon become part of the environment and drivers will no longer notice it.","""If you put up a static sign, it will probably soon become part of the environment, and the drivers will no longer notice it,"" says Mr Kořán.",0.824,25.82,7.11,15.08,-10.74,0.8695,0.8584,0.8188,-0.05070000000000008
"Wie ein AZ-Reporter berichtet, kam es auch auf der Gegenfahrbahn zu massiven Behinderungen - durch zahlreiche Gaffer.","As an AZ journalist reports, there were massive disruptions in the opposite lane as well – due to numerous rubberneckers.","As an AZ reporter reported, there were also significant disruptions on the opposite lane - due to numerous onlookers.","As an AZ reporter reported, there were also major delays on the opposite side of the road - due to a large number of spectators.","As an AZ reporter reported, there were also obstacles on the opposite lane - caused by a large number of spectators.",0.824,18.95,11.19,14.35,-4.6,0.8075,0.739,0.767,-0.04049999999999998
Ansonsten ging er mit seinen Verlierern in seiner Geburtsstadt allerdings überraschend sanft um und schob seine erste Niederlage als Münchner Coach lediglich auf den erneut mangelhaften Umgang mit Chancen.,"Apart from this, he quietly bypassed his native city with his losers and put his first defeat as Munich coach down to the inadequate handling of opportunities.","Otherwise, he treated his losers in his hometown surprisingly gently and attributed his first defeat as a Munich coach solely to the continued poor handling of opportunities.","Otherwise, he was surprisingly gentle with his losers in his home town and put his first defeat as a Munich coach down to the poor handling of chances once again.","Otherwise, he was surprisingly gentle with his losers in his home town and put his first defeat as a Munich coach down to the poor handling of chances.",0.824,22.42,33.13,35.46,13.04,0.803,0.7836,0.7876,-0.01540000000000008
"Aber in Anbetracht dessen, dass jede Attraktion für diese Gegenstände mehr Geld für die Branche bedeuten und einige Kunden in die Tiefen Sohos für mehr schicken könnte, gibt es nichts, um sich zu beschweren.","But, given that any attraction to these items could mean more money for the industry and send a few customers into the depths of Soho for more, there is little to complain about.","However, considering that each attraction for these items means more money for the industry and some customers could be sent to the depths of Soho for more, there is nothing to complain about.","However, in view of the fact that every attraction for these objects means more money for the industry and some customers will go to the depths of Soho for more, there is nothing to complain about.","However, in view of the fact that every attraction for these objects means more money for the industry and some customers will go to the depths of Soho for more, there is nothing to complain about. The phrase ""gibt es nichts, um sich zu beschweren"" should be ""there is nothing to complain about""",0.824,45.33,40.29,25.38,-19.95,0.8702,0.8536,0.6833,-0.18689999999999996
"""Die Polizei hat eine Vorstellung von ihrem Aufenthaltsort, und unsere Bemühungen, sie zu lokalisieren, verstärken sich"", sagte Guglielmi.","""Police have an idea of their whereabouts but our efforts to locate that are intensifying,"" Guglielmi said.","""The police have an idea of their whereabouts, and our efforts to locate them are intensifying,"" said Guglielmi.","Guglielmi said: 'The police have an idea of where he is, and our efforts to locate him are intensifying'.","""The police have an idea of his whereabouts, and our efforts to locate him are intensifying,"" said Guglielmi.",0.824,43.94,25.38,33.74,-10.199999999999996,0.919,0.8885,0.9109,-0.008099999999999996
"Nachdem die Diskussion ausgestrahlt wurde, explodierten die Sozialen Medien vor Missbilligung über Damons Kommentare.","After the discussion aired, social media exploded in disapproval over Damon's comments.","After the discussion was broadcast, social media exploded with disapproval over Damon's comments.","After the discussion was broadcast, social media exploded with disapproval of Damon's comments.","Once the discussion was aired, social media exploded with disapproval over Damon's comments.",0.824,49.36,31.14,53.04,3.6799999999999997,0.9455,0.9393,0.9449,-0.0006000000000000449
"In dem Moment war ich sehr froh, dass ich schon vor gut zwei Jahren angefangen hatte, die Sprache zu lernen.","At that moment, I was very glad that I'd been learning the language for two years already.","At that moment, I was very happy that I had already started learning the language two years ago.","At that moment, I was very happy that I had already started learning the language two years ago.",At that time I was very happy that I had already started to learn the language two years ago.,0.824,40.86,40.86,12.67,-28.189999999999998,0.907,0.907,0.8822,-0.024800000000000044
"Die Männer wurden bei einem Überfall auf ein Haus in Sarghoda, in der östlichen Pandschab-Provinz festgenommen, teilte die amerikanische Botschaft in Pakistan der BBC mit.","The men were arrested in a raid on a house in Sarghoda in eastern Punjab province, Pakistan's US embassy told the BBC.","The men were arrested during an attack on a house in Sarghoda, in the eastern Punjab province, according to the American embassy in Pakistan to the BBC.","The men were arrested during an attack on a house in Sarghoda, in the eastern Punjab province, the US embassy in Pakistan told the BBC.","The men were arrested in Sarghoda, in the eastern Punjab province, the US embassy in Pakistan told the BBC.",0.824,32.45,40.51,39.34,6.890000000000001,0.8651,0.8948,0.875,0.00990000000000002
"Nach einem Besuch des Hauptquartiers der Organisation in Moskau im Juli erklärte WADA-Generaldirektor Olivier Niggli, dass RUSADA sich ""in die richtige Richtung"" bewegt, um wieder eingesetzt zu werden.","Following a visit to the organization's headquarters in Moscow in July, WADA Director General Olivier Niggli stated that RUSADA is ""moving in the right direction"" to be reinstated.","After a visit to the headquarters of the organization in Moscow in July, WADA Director General Olivier Niggli stated that RUSADA is ""moving in the right direction"" to be reinstated.","After a visit to the headquarters of the organisation in Moscow in July, WADA director general Olivier Niggli said that RUSADA was 'moving in the right direction' to be reinstated.","After a visit to the headquarters of the organisation in Moscow in July, WADA director general Olivier Niggli said that RUSADA is moving in the right direction to be reinstated.",0.824,80.43,36.22,45.75,-34.68000000000001,0.9115,0.8985,0.89,-0.021499999999999964
"Wortkarg gab er sich, der Coach des Fußball-Bezirksligisten VfL Wolbeck, zog sich erst mal (innerlich) zurück, um über die fehlende Leistungsbereitschaft auf dem Grün zu sinnieren.","Silently, the coach of the football district league club VfL Wolbeck first retreated (inwardly) to ponder over the lack of motivation on the playing field.","The coach of the football district league team VfL Wolbeck spoke sparingly, withdrew (mentally) first, and then reflected on the lack of readiness for performance on the green.","The coach of VfL Wolbeck, a football district league team, was reticent and withdrew (mentally) to reflect on the lack of performance on the green.","He was reticent in his words, the coach of the football district league team VfL Wolbeck, he first withdrew (mentally) to think about the lack of readiness to perform on the green.",0.824,22.3,11.99,26.98,4.68,0.7873,0.799,0.7218,-0.0655
