source,reference,wmt_prediction,sc_initial,sc_corrected,sc_final,wmt_bleu,sc_initial_bleu,sc_final_bleu,bleu_diff,wmt_comet,sc_initial_comet,sc_final_comet,comet_diff
"Kurz nachdem sie ihre Beziehung aufgelöst hatte, wurde bekannt, dass sie schwanger war.","They decided to split, soon after they found out that she was pregnant.","Shortly after breaking up, it was revealed she was pregnant.","Shortly after she broke up with him, it was revealed that she was pregnant.","Shortly after she had broken up with him, she was pregnant.",0.843,18.27,24.9,18.35,0.08000000000000185,0.8519,0.8706,0.8219,-0.030000000000000027
"Ich habe von folgendem Schema gehört: Die Webseite ist normalerweise im Ausland registriert, und russische Gesetze finden keine Anwendung.",I heard about this: normally the site is registered outside the area of applicability of the laws of Russia.,"I have heard the following: the website is normally registered abroad, and Russian laws do not apply.","I have heard the following scheme: the website is normally registered abroad, and Russian laws do not apply.","I have heard the following scheme: the website is normally registered abroad, and Russian laws do not apply.",0.843,3.24,3.23,3.23,-0.010000000000000231,0.8294,0.8088,0.8088,-0.020600000000000063
"""Stellt man eine statische Tafel auf, die vor einer Gefahr warnt, wird diese wahrscheinlich bald mit der Umgebung verfließen, und die Fahrer werden sie nicht mehr wahrnehmen"", meint Kořán.","""If a static table which warns against danger is installed, it will likely soon blend in with the surroundings and the drivers will not pay attention to it,"" Kořán warned.","""If you put a static warning sign in front of a danger, it will probably soon fade into the background and drivers will not notice it,"" says Kořán.","According to Kořán, if you put a static sign up warning of a danger, it will probably soon blend in with the surroundings and drivers will no longer notice it.","""If you put up a static sign warning of a danger, it will probably soon blend in with the surroundings and drivers will no longer notice it,"" says Kořán.",0.843,11.77,24.89,28.28,16.51,0.8472,0.8442,0.8706,0.023400000000000087
"Wie ein AZ-Reporter berichtet, kam es auch auf der Gegenfahrbahn zu massiven Behinderungen - durch zahlreiche Gaffer.","As an AZ journalist reports, there were massive disruptions in the opposite lane as well – due to numerous rubberneckers.","According to an AZ reporter, there were also massive obstructions on the opposing carriage - by numerous gaffers.","As an AZ reporter has reported, there were also massive delays on the opposing carriageway - caused by numerous gaffer tape.","According to an AZ reporter, there were also massive hold-ups on the opposing carriageway - caused by gaffer tape.",0.843,9.64,11.71,9.39,-0.25,0.6715,0.6724,0.6719,0.00040000000000006697
Ansonsten ging er mit seinen Verlierern in seiner Geburtsstadt allerdings überraschend sanft um und schob seine erste Niederlage als Münchner Coach lediglich auf den erneut mangelhaften Umgang mit Chancen.,"Apart from this, he quietly bypassed his native city with his losers and put his first defeat as Munich coach down to the inadequate handling of opportunities.","Elsewhere, however, in his birth town, he was surprisingly gentle with his losers and put his first defeat as a Munich coach down to his team's poor handling of opportunities.","Otherwise, he was surprisingly gentle with his losers in his birthplace, and put his first defeat as a Munich coach down to the Munich team's poor handling of chances.","Otherwise, he was surprisingly gentle with his losers in his birthplace, and put his first defeat as a Munich coach down to the Munich team's poor handling of chances.",0.843,39.24,33.13,33.13,-6.109999999999999,0.7848,0.7792,0.7792,-0.005600000000000049
"Aber in Anbetracht dessen, dass jede Attraktion für diese Gegenstände mehr Geld für die Branche bedeuten und einige Kunden in die Tiefen Sohos für mehr schicken könnte, gibt es nichts, um sich zu beschweren.","But, given that any attraction to these items could mean more money for the industry and send a few customers into the depths of Soho for more, there is little to complain about.","But given that every attraction means more money for the industry and could send some customers to the depths of Soho for more, there's nothing to complain about.","But in view of the fact that every attraction brings in more money for the industry and could send some customers to the depths of Soho for more, there is nothing to complain about.","But in view of the fact that each attraction brings in more money for the industry and could send some customers to the depths of Soho for more, there is nothing to complain about.",0.843,38.75,44.23,44.23,5.479999999999997,0.8725,0.8582,0.8621,-0.010400000000000076
"""Die Polizei hat eine Vorstellung von ihrem Aufenthaltsort, und unsere Bemühungen, sie zu lokalisieren, verstärken sich"", sagte Guglielmi.","""Police have an idea of their whereabouts but our efforts to locate that are intensifying,"" Guglielmi said.","""The police have an idea of their whereabouts and our efforts to locate them are intensifying,"" Guglielmi said.","The police have an idea of their whereabouts, and our efforts to locate them are intensifying, said Guglielmi.","""The police have an idea of their whereabouts, and our efforts to locate them are increasing,"" Guglielmi said.",0.843,59.62,42.02,47.72,-11.899999999999999,0.9217,0.9124,0.9171,-0.0045999999999999375
"Nachdem die Diskussion ausgestrahlt wurde, explodierten die Sozialen Medien vor Missbilligung über Damons Kommentare.","After the discussion aired, social media exploded in disapproval over Damon's comments.","After the discussion aired, social media exploded with outrage over Damon's comments.","After the discussion was broadcast, social media exploded with disapproval of Damon's comments.","After the discussion was aired, social media erupted with disapproval of Damon's comments.",0.843,69.98,31.14,31.14,-38.84,0.9304,0.9393,0.9312,0.0008000000000000229
"In dem Moment war ich sehr froh, dass ich schon vor gut zwei Jahren angefangen hatte, die Sprache zu lernen.","At that moment, I was very glad that I'd been learning the language for two years already.",At that moment I was very glad that I had started learning the language two years ago.,"At that moment, I was very glad that I had started learning the language two years earlier.","At that moment, I was very happy that I had started to learn the language two years earlier.",0.843,34.24,54.02,36.57,2.3299999999999983,0.8986,0.9025,0.8858,-0.012799999999999923
"Die Männer wurden bei einem Überfall auf ein Haus in Sarghoda, in der östlichen Pandschab-Provinz festgenommen, teilte die amerikanische Botschaft in Pakistan der BBC mit.","The men were arrested in a raid on a house in Sarghoda in eastern Punjab province, Pakistan's US embassy told the BBC.","The men were arrested during a raid on a house in Sarghoda, in eastern Punjab province, the US embassy in Pakistan told the BBC.","The men were arrested during a raid on a house in Sarghoda, in eastern Punjab province, the US embassy in Pakistan told the BBC.","The men were arrested during an attack on a house in Sarghoda, in eastern Punjab province, the US embassy in Pakistan told the BBC.",0.843,54.64,54.64,46.02,-8.619999999999997,0.9285,0.9285,0.896,-0.03249999999999997
"Nach einem Besuch des Hauptquartiers der Organisation in Moskau im Juli erklärte WADA-Generaldirektor Olivier Niggli, dass RUSADA sich ""in die richtige Richtung"" bewegt, um wieder eingesetzt zu werden.","Following a visit to the organization's headquarters in Moscow in July, WADA Director General Olivier Niggli stated that RUSADA is ""moving in the right direction"" to be reinstated.","After a visit to the organization's headquarters in Moscow in July, WADA Director General Olivier Niggli said RUSADA was ""moving in the right direction"" to be reinstated.","Following a visit to the organisation's headquarters in Moscow in July, WADA Director General Olivier Niggli said that RUSADA was 'moving in the right direction' to be reinstated.","After a visit to the headquarters of the organization in Moscow in July, WADA General Director Olivier Niggli declared that RUSADA was ""moving in the right direction"" to be reinstated.",0.843,79.2,55.67,54.86,-24.340000000000003,0.9155,0.9079,0.9083,-0.007199999999999984
"Wortkarg gab er sich, der Coach des Fußball-Bezirksligisten VfL Wolbeck, zog sich erst mal (innerlich) zurück, um über die fehlende Leistungsbereitschaft auf dem Grün zu sinnieren.","Silently, the coach of the football district league club VfL Wolbeck first retreated (inwardly) to ponder over the lack of motivation on the playing field.","He was tight-lipped, the coach of the VfL Wolbeck district football team, withdrew (mentally) for a moment to think about the lack of performance on the pitch.","He was tight-lipped, the coach of the VfL Wolbeck football club, and withdrew (mentally) for a while to think about the lack of performance on the pitch.","The coach of the VfL Wolbeck football club, who is also the coach of the football district league team, was initially silent (inwardly) to think about the lack of performance on the pitch.",0.843,19.11,19.11,28.02,8.91,0.7356,0.7358,0.7887,0.053099999999999925
"Mit Blick auf die deutliche Zunahme von rechtsmotivierten Straftaten und Angriffen auf Asylbewerber und Flüchtlingsunterkünfte sagte Maaßen, er würde in diesem Zusammenhang noch nicht von neuem rechten Terrorismus sprechen.","With regard to the clear increase in right-wing crimes and attacks on asylum seekers and refugee shelters, Maaßen said that he would not yet speak of a new right-wing terrorism.","With regard to the clear increase in right-motivated crimes and attacks on asylum seekers and refugee accommodation, Maaßen said that he was not yet talking about new right-wing terrorism.","In view of the clear increase in right-motivated crimes and attacks on asylum seekers and refugee accommodation, Maaßen said that he was not yet ready to talk about right-wing terrorism.","In view of the clear increase in right-motivated crimes and attacks on asylum seekers and refugee accommodation, Maaßen said that he was not yet ready to talk about right-wing terrorism.",0.843,59.1,46.16,46.16,-12.940000000000005,0.8907,0.8587,0.8587,-0.03200000000000003
"Michael Hesemann: Wir Historiker reden da vom ""Fallstrick des Anachronismus"", also der Gefahr, Vergangenes nach heutigen moralischen Maßstäben zu bewerten.","Michael Hesemann: We historians talk here about ""the pitfall of anachronism"", that is, the danger of evaluating the past according to today's moral standards.","Michael Hesemann: Historians talk about the ""trap of anachronism"", the danger of judging the past by today's moral standards.","Michael Hesemann: Historians talk about the 'fall of the anachronism', the danger of judging the past by today's moral standards.","Michael Hesemann: Historians talk about the ""trap of anachronism"", that is, the danger of judging the past by today's moral standards.",0.843,29.2,21.49,46.37,17.169999999999998,0.8861,0.8765,0.899,0.012900000000000023
