source,reference,wmt_prediction,sc_initial,sc_corrected,sc_final,wmt_bleu,sc_initial_bleu,sc_final_bleu,bleu_diff,wmt_comet,sc_initial_comet,sc_final_comet,comet_diff
"Kurz nachdem sie ihre Beziehung aufgelöst hatte, wurde bekannt, dass sie schwanger war.","They decided to split, soon after they found out that she was pregnant.","Shortly after breaking up with him, she found out she was pregnant.","Shortly after she had ended her relationship, it was revealed that she was pregnant.","Not long after she broke up, it was revealed that she was pregnant.",0.844,21.15,24.9,26.76,5.610000000000003,0.8762,0.8654,0.8379,-0.0383
"Ich habe von folgendem Schema gehört: Die Webseite ist normalerweise im Ausland registriert, und russische Gesetze finden keine Anwendung.",I heard about this: normally the site is registered outside the area of applicability of the laws of Russia.,"I have heard of the following scheme: the website is normally registered abroad, and Russian laws do not apply.",I have heard of the following scheme: the website is normally registered abroad and Russian laws do not apply.,I have heard of the following scheme: the website is normally registered abroad and Russian laws do not apply.,0.844,5.29,5.56,5.56,0.2699999999999996,0.8363,0.8362,0.8362,-9.999999999998899e-05
"""Stellt man eine statische Tafel auf, die vor einer Gefahr warnt, wird diese wahrscheinlich bald mit der Umgebung verfließen, und die Fahrer werden sie nicht mehr wahrnehmen"", meint Kořán.","""If a static table which warns against danger is installed, it will likely soon blend in with the surroundings and the drivers will not pay attention to it,"" Kořán warned.","""If you put up a static sign warning of danger, it will probably be absorbed by the environment and the drivers will not notice it,"" says Kořán.","If you put up a static sign warning of danger, it will probably soon become part of the environment and drivers will not see it.","""If you put up a static board warning of danger, it will probably soon become part of the environment and drivers will not see it,"" says Kořán.",0.844,19.72,8.59,11.61,-8.11,0.8298,0.7917,0.8433,0.013500000000000068
"Wie ein AZ-Reporter berichtet, kam es auch auf der Gegenfahrbahn zu massiven Behinderungen - durch zahlreiche Gaffer.","As an AZ journalist reports, there were massive disruptions in the opposite lane as well – due to numerous rubberneckers.","As an AZ reporter reports, there were also massive backups on the other side of the highway - caused by numerous wrecks.","As an AZ reporter reports, there were also massive delays on the return journey - due to numerous gaffers.","According to an AZ reporter, it also happened on the opposite side of the highway - massive traffic jams caused by numerous accidents.",0.844,15.95,21.39,5.22,-10.73,0.6858,0.6864,0.7094,0.023600000000000065
Ansonsten ging er mit seinen Verlierern in seiner Geburtsstadt allerdings überraschend sanft um und schob seine erste Niederlage als Münchner Coach lediglich auf den erneut mangelhaften Umgang mit Chancen.,"Apart from this, he quietly bypassed his native city with his losers and put his first defeat as Munich coach down to the inadequate handling of opportunities.","Otherwise, he went surprisingly soft on his losers in his hometown, but his first loss as Munich coach was only due to the poor handling of chances.","Otherwise, he went surprisingly gently with his losers in his hometown, and his first defeat as Munich coach was simply a result of the poor handling of chances.","However, he blamed his first defeat as Munich coach on the poor handling of chances again.",0.844,9.45,23.48,18.58,9.129999999999999,0.7601,0.7802,0.7351,-0.025000000000000022
"Aber in Anbetracht dessen, dass jede Attraktion für diese Gegenstände mehr Geld für die Branche bedeuten und einige Kunden in die Tiefen Sohos für mehr schicken könnte, gibt es nichts, um sich zu beschweren.","But, given that any attraction to these items could mean more money for the industry and send a few customers into the depths of Soho for more, there is little to complain about.","But given that each attraction will bring in more money for the industry and send some customers deeper into Soho's depths, there's not much to complain about.","But in view of the fact that any attraction for these things will bring more money to the industry and send some customers to the depths of Soho, there is nothing to complain about.","However, in view of the fact that every attraction for these items will bring more money to the industry and send some customers to the depths of Soho, there is nothing to complain about.",0.844,25.82,27.76,25.62,-0.1999999999999993,0.8415,0.88,0.8628,0.021299999999999986
"""Die Polizei hat eine Vorstellung von ihrem Aufenthaltsort, und unsere Bemühungen, sie zu lokalisieren, verstärken sich"", sagte Guglielmi.","""Police have an idea of their whereabouts but our efforts to locate that are intensifying,"" Guglielmi said.","""The police have an idea of where they are and our efforts to locate them are intensifying,"" said Guglielmi.",Guglielmi said: 'The police have an idea of where they are and our efforts to locate them are intensifying'.,"""The police have an idea of their location, and our efforts to locate them are intensifying,"" said Guglielmi.",0.844,33.23,26.15,38.69,5.460000000000001,0.9098,0.8958,0.911,0.0011999999999999789
"Nachdem die Diskussion ausgestrahlt wurde, explodierten die Sozialen Medien vor Missbilligung über Damons Kommentare.","After the discussion aired, social media exploded in disapproval over Damon's comments.","Following the discussion being aired, social media erupted in condemnation of Damon's comments.","After the discussion was broadcast, social media exploded with condemnation of Damon's comments.","After the discussion was aired, social media erupted with criticism of Damon's comments.",0.844,27.23,30.41,30.41,3.1799999999999997,0.9103,0.9185,0.91,-0.00029999999999996696
"In dem Moment war ich sehr froh, dass ich schon vor gut zwei Jahren angefangen hatte, die Sprache zu lernen.","At that moment, I was very glad that I'd been learning the language for two years already.","At that moment, I was glad I had started learning the language more than two years ago.","At that moment, I was very glad that I had started learning the language more than two years ago.","At that moment, I was very happy that I had started learning Spanish almost two years ago.",0.844,35.99,48.46,36.66,0.6699999999999946,0.8789,0.8858,0.8709,-0.008000000000000007
"Die Männer wurden bei einem Überfall auf ein Haus in Sarghoda, in der östlichen Pandschab-Provinz festgenommen, teilte die amerikanische Botschaft in Pakistan der BBC mit.","The men were arrested in a raid on a house in Sarghoda in eastern Punjab province, Pakistan's US embassy told the BBC.","The men were arrested during a raid on a house in Sarghoda, in eastern Khyber Pakhtunkhwa province, the US embassy in Pakistan told the BBC.","The men were arrested during a raid on a house in Sarghoda, in the eastern Peshawar province, the American embassy in Pakistan told the BBC.","The men were arrested during an attack on a house in Sarghoda, in the eastern Khyber Pakhtunkhwa province, the US embassy in Pakistan told the BBC.",0.844,43.64,41.62,32.95,-10.689999999999998,0.8887,0.9081,0.8582,-0.030500000000000083
