source,reference,wmt_prediction,sc_initial,sc_corrected,sc_final,wmt_bleu,sc_initial_bleu,sc_final_bleu,bleu_diff,wmt_comet,sc_initial_comet,sc_final_comet,comet_diff
"Kurz nachdem sie ihre Beziehung aufgelöst hatte, wurde bekannt, dass sie schwanger war.","They decided to split, soon after they found out that she was pregnant.","Shortly after she ended her relationship, it was announced that she was pregnant.","Shortly after she had ended her relationship, it was announced that she was pregnant.","Shortly after she had broken up, it was announced that she was pregnant.",0.848,26.76,24.9,26.76,0.0,0.8661,0.8615,0.8147,-0.0514
"Ich habe von folgendem Schema gehört: Die Webseite ist normalerweise im Ausland registriert, und russische Gesetze finden keine Anwendung.",I heard about this: normally the site is registered outside the area of applicability of the laws of Russia.,"I have heard of the following scheme: the website is normally registered abroad, and Russian laws do not","I have heard of the following scheme: the website is normally registered abroad, and Russian laws do not apply.","I have heard of the following scheme: the website is normally registered abroad, and Russian laws do not apply.",0.848,5.45,5.29,5.29,-0.16000000000000014,0.7913,0.8363,0.8363,0.04500000000000004
"""Stellt man eine statische Tafel auf, die vor einer Gefahr warnt, wird diese wahrscheinlich bald mit der Umgebung verfließen, und die Fahrer werden sie nicht mehr wahrnehmen"", meint Kořán.","""If a static table which warns against danger is installed, it will likely soon blend in with the surroundings and the drivers will not pay attention to it,"" Kořán warned.","""If you put up a static sign warning of danger, it will probably soon blend in with the","Mr Kořán said that if you put up a static sign warning of danger, it will probably soon blend in with the surroundings and drivers will not notice it.","""If you put up a static sign warning of danger, it will probably soon become indistinguishable from the surroundings, and the drivers will not notice it,"" says Kořán.",0.848,13.74,26.08,20.73,6.99,0.7088,0.8556,0.8594,0.15060000000000007
"Wie ein AZ-Reporter berichtet, kam es auch auf der Gegenfahrbahn zu massiven Behinderungen - durch zahlreiche Gaffer.","As an AZ journalist reports, there were massive disruptions in the opposite lane as well – due to numerous rubberneckers.","As an AZ reporter reports, there were also massive obstructions on the opposite side of the road -","According to an AZ reporter, there were also massive obstructions on the opposite side of the road - caused by a large number of spectators.","According to an AZ reporter, there were also massive obstructions in the opposite lane - caused by a large number of spectators.",0.848,17.91,8.3,17.06,-0.8500000000000014,0.7609,0.7522,0.784,0.02310000000000001
Ansonsten ging er mit seinen Verlierern in seiner Geburtsstadt allerdings überraschend sanft um und schob seine erste Niederlage als Münchner Coach lediglich auf den erneut mangelhaften Umgang mit Chancen.,"Apart from this, he quietly bypassed his native city with his losers and put his first defeat as Munich coach down to the inadequate handling of opportunities.","Otherwise, he was surprisingly gentle with his losers in his home town and put his first defeat as a","Otherwise, he was surprisingly gentle with his losers in his hometown and put his first defeat as a Munich coach down to the continued lack of opportunities.","Otherwise, he was surprisingly gentle with his losers in his hometown and put his first defeat as a Munich coach down to the continued lack of opportunities.",0.848,21.27,38.56,38.56,17.290000000000003,0.6237,0.793,0.793,0.1693
"Aber in Anbetracht dessen, dass jede Attraktion für diese Gegenstände mehr Geld für die Branche bedeuten und einige Kunden in die Tiefen Sohos für mehr schicken könnte, gibt es nichts, um sich zu beschweren.","But, given that any attraction to these items could mean more money for the industry and send a few customers into the depths of Soho for more, there is little to complain about.",But given that each attraction for these items means more money for the industry and could send some customers deeper,"However, in view of the fact that each attraction for these objects means more money for the industry and that some customers could be sent to Soho for more, there is nothing to complain about.","However, in view of the fact that each attraction for these items means more money for the industry and that some customers could be sent to the depths of Soho for more, there is nothing to complain about.",0.848,14.73,33.66,39.58,24.849999999999998,0.7472,0.8326,0.8658,0.11860000000000004
"""Die Polizei hat eine Vorstellung von ihrem Aufenthaltsort, und unsere Bemühungen, sie zu lokalisieren, verstärken sich"", sagte Guglielmi.","""Police have an idea of their whereabouts but our efforts to locate that are intensifying,"" Guglielmi said.","""The police have an idea of where they are and our efforts to locate them are intensifying,""","The police have an idea of where he is, and our efforts to locate him are increasing, said Guglielmi.","""The police have an idea of where she is, and our efforts to locate her are increasing,"" said Guglielmi.",0.848,34.9,24.42,23.96,-10.939999999999998,0.8871,0.8867,0.8912,0.0040999999999999925
"Nachdem die Diskussion ausgestrahlt wurde, explodierten die Sozialen Medien vor Missbilligung über Damons Kommentare.","After the discussion aired, social media exploded in disapproval over Damon's comments.","After the discussion aired, social media exploded with disapproval over Damon's comments.","After the discussion was aired, social media exploded with disapproval of Damon's comments.","After the discussion was broadcast, social media exploded with outrage over Damon's comments.",0.848,78.25,41.37,40.48,-37.77,0.9546,0.9448,0.9212,-0.033399999999999985
"In dem Moment war ich sehr froh, dass ich schon vor gut zwei Jahren angefangen hatte, die Sprache zu lernen.","At that moment, I was very glad that I'd been learning the language for two years already.","At that moment, I was very glad that I had started learning the language two years ago.","At that moment, I was very glad that I had started learning the language two years ago.","At that moment, I was very happy that I had already started learning the language two years ago.",0.848,54.02,54.02,40.86,-13.160000000000004,0.8985,0.8985,0.907,0.008500000000000063
"Die Männer wurden bei einem Überfall auf ein Haus in Sarghoda, in der östlichen Pandschab-Provinz festgenommen, teilte die amerikanische Botschaft in Pakistan der BBC mit.","The men were arrested in a raid on a house in Sarghoda in eastern Punjab province, Pakistan's US embassy told the BBC.","The men were arrested during a raid on a house in Sarghoda, in eastern Punjab province","The men were arrested during an attack on a house in Sarghoda, in the eastern province of Punjab, the American Embassy in Pakistan told the BBC.","The men were arrested during a raid on a house in Sarghoda, in the eastern province of Punjab, the American Embassy in Pakistan told the BBC.",0.848,43.24,31.08,39.31,-3.9299999999999997,0.8458,0.8878,0.9162,0.07040000000000002
