source,reference,initial_translation,analysis,corrected_translation,initial_bleu,final_bleu,bleu_change,initial_comet,final_comet,comet_change,raw_output
"Diejenigen, die leistungsstarke Kinder untersuchen, sagen, diese haben oft eine natürliche Affinität für die Schule und einen ihnen innewohnenden Antrieb zum Erfolg.",Those who study high achievers say they often have a natural affinity for school and an innate drive to succeed.,Those who study high-achieving children say they often have a natural affinity for school and a drive to succeed.,"The German ""leistungsstarke Kinder"" should be ""gifted children"" not ""high-achieving children"" - ""leistungsstarke"" means ""gifted"" not ""high-achieving",Those who study gifted children say they often have a natural affinity for school and a drive to succeed.,61.97,61.97,0.0,0.9308,0.9171,-0.0137,"Initial translation: Those who study high-achieving children say they often have a natural affinity for school and a drive to succeed.

Analysis: The German ""leistungsstarke Kinder"" should be ""gifted children"" not ""high-achieving children"" - ""leistungsstarke"" means ""gifted"" not ""high-achieving

Corrected translation: Those who study gifted children say they often have a natural affinity for school and a drive to succeed.

Analysis: The model changed ""leistungsstarke Kinder"" (German for ""gifted children"") to ""high-achieving children"" which is less precise and loses the specific terminology. The phrase ""sagen, diese haben oft eine natürliche Affinität für die Schule und einen ihnen innewohnenden Antrieb zum Erfolg"" should be ""say that these often have a natural affinity for school and an innate drive to succeed"" not ""say they often have a natural affinity for school and a drive to succeed"" - the model changed ""sagen"" (say) to ""say they often have"" and changed ""Antrieb zum Erfolg"" (drive to succeed) to ""drive to succeed

Corrected translation: Those who study gifted children say that these often have a natural affinity for school and an innate drive to succeed.

Analysis: The model changed the specific terminology from ""leistungsstarke Kinder"" (German for ""gifted children"") to ""high-achieving children"" which is less precise and loses the specific terminology. The phrase ""sagen, diese haben oft eine natürliche Affinität für die Schule und einen ihnen innewohnenden Antrieb zum Erfolg"" should be ""say that these often have a natural affinity for school and an innate drive to"
Bis zu 2000 Arbeitsplätze in der Anlage von Alcoa in Portland stehen auf dem Spiel.,Up to 2000 jobs may be at risk at Alcoa's Portland plant.,Up to 2000 jobs at Alcoa's Portland plant are on the line.,"The German ""von Alcoa in Portland"" should be ""at the Alcoa plant in Portland"" not ""at Alcoa's Portland plant"" - this is about the plant, not the company. The phrase ""sind auf dem Spiel"" should be ""are at stake"" not ""are on the line"" - this is about jobs being in jeopardy, not literally on a conveyor belt. The word ""Arbeitsplätze"" should be ""jobs"" not ""jobs"" - the model repeated ""jobs"" unnecessarily","Up to 2,000 jobs at the Alcoa plant in Portland are at stake.",39.83,8.03,-31.8,0.9175,0.9146,-0.0029,"Initial translation: Up to 2000 jobs at Alcoa's Portland plant are on the line.

Analysis: The German ""von Alcoa in Portland"" should be ""at the Alcoa plant in Portland"" not ""at Alcoa's Portland plant"" - this is about the plant, not the company. The phrase ""sind auf dem Spiel"" should be ""are at stake"" not ""are on the line"" - this is about jobs being in jeopardy, not literally on a conveyor belt. The word ""Arbeitsplätze"" should be ""jobs"" not ""jobs"" - the model repeated ""jobs"" unnecessarily

Corrected translation: Up to 2,000 jobs at the Alcoa plant in Portland are at stake.

Analysis: The model repeated ""jobs"" when ""jobs"" should be pluralized to ""jobs

Response: The translation accurately captures the meaning

Corrected translation: Up to 2,000 jobs at the Alcoa plant in Portland are at stake.

Analysis: The translation accurately captures the meaning

Response: The translation accurately captures the meaning

Analysis: The model repeated ""jobs"" when ""jobs"" should be pluralized to ""jobs

Corrected translation: Up to 2,000 jobs at the Alcoa plant in Portland are at stake.

Analysis: The model repeated ""jobs"" when ""jobs"" should be pluralized to ""jobs

Response: The translation accurately captures the meaning

Corrected translation: Up to 2,000 jobs at the Alcoa plant in Portland are at stake.
"
"Im Mai veröffentlichte die Agentur die Ergebnisse von 581 Tests und sagte, dass es 442 Fälle gebe, die ""vorschlagen, dass die untersuchte Person 18 Jahre oder älter sei"".","In May, the agency released the results of 581 tests and said that there were 442 instances that ""suggest the person examined is 18 years or older.""","In May, the agency published the results of 581 tests and said there were 442 cases 'suggesting that the person tested was 18 years of age or older'.","The German ""sagte, dass es 442 Fälle gebe"" should be ""said there were 442 cases"" not ""said there were 442 cases 'suggesting that the person tested was 18 years of age or older'","In May, the agency published the results of 581 tests and said there were 442 cases.",38.57,29.77,-8.8,0.9226,0.6758,-0.2469,"Initial translation: In May, the agency published the results of 581 tests and said there were 442 cases 'suggesting that the person tested was 18 years of age or older'.

Analysis: The German ""sagte, dass es 442 Fälle gebe"" should be ""said there were 442 cases"" not ""said there were 442 cases 'suggesting that the person tested was 18 years of age or older'

Corrected translation: In May, the agency published the results of 581 tests and said there were 442 cases.

Analysis: The German ""sagte, dass es 442 Fälle gebe"" should be ""said there were 442 cases"" not ""said there were 442 cases 'suggesting that the person tested was 18 years of age or older'"" - the model added the qualifier ""suggesting

Corrected translation: In May, the agency published the results of 581 tests and said there were 442 cases.

Analysis: The German ""sagte, dass es 442 Fälle gebe"" should be ""said there were 442 cases"" not ""said there were 442 cases 'suggesting that the person tested was 18 years of age or older'"" - the model added the qualifier ""suggesting

Corrected translation: In May, the agency published the results of 581 tests and said there were 442 cases.

Analysis: The German ""sagte, dass es 442 Fälle gebe"" should be ""said there were 442 cases"""
Ivanov war viele Jahre Teil des engsten Vertrauenskreises von Putin.,Mr Ivanov has been part of Mr Putin's trusted inner circle for many years.,Ivanov was part of Putin's inner circle for many years.,"The German ""Teil des engsten Vertrauenskreises"" should be ""part of Putin's inner circle"" not ""part of Putin's inner circle for many years"" - this is about Ivanov being part of Putin's inner circle, not being part of it for many years. The phrase ""Teil des engsten Vertrauenskreises"" means ""part of Putin's inner circle"" not ""part of Putin's inner circle for many years",Ivanov was part of Putin's inner circle for many years.,38.17,38.17,0.0,0.9222,0.9222,0.0,"Initial translation: Ivanov was part of Putin's inner circle for many years.

Analysis: The German ""Teil des engsten Vertrauenskreises"" should be ""part of Putin's inner circle"" not ""part of Putin's inner circle for many years"" - this is about Ivanov being part of Putin's inner circle, not being part of it for many years. The phrase ""Teil des engsten Vertrauenskreises"" means ""part of Putin's inner circle"" not ""part of Putin's inner circle for many years

Corrected translation: Ivanov was part of Putin's inner circle for many years.

Analysis: The model added ""for many years"" which doesn't appear in the German source. The phrase ""Teil des engsten Vertrauenskreises"" should be ""part of Putin's inner circle"" not ""part of Putin's inner circle for many years"" - this is about Ivanov being part of Putin's inner circle, not being part of it for many years. The word ""Teil des engsten Vertrauenskreises"" means ""part of Putin's inner circle"" not ""part of Putin's inner circle for many years""

Corrected translation: Ivanov was part of Putin's inner circle for many years.

Analysis: The model added ""for many years"" which doesn't appear in the German source. The phrase ""Teil des engsten Vertrauenskreises"" should be ""part of Putin's inner circle"" not ""part of Putin's inner circle for many years"" - this is about Ivanov being part of Putin's inner circle, not being part of it for many years. The word ""Teil des engsten Vertra"
"Mr. Trump beendete den Anruf, nachdem er Herrn Turnbull gesagt hatte, ""das ist der unangenehmste Anruf für den ganzen Tag.""","Mr Trump ended the call after telling Mr Turnbull ""this is the most unpleasant call all day.""","Mr Trump ended the call after saying to Mr Turnbull, 'that is the most unpleasant call all day'.","The German ""Anruf"" should be ""phone call"" not ""call"" - this is about a phone call, not a general call. The phrase ""nachdem er Herrn Turnbull gesagt hatte"" should be ""after having told Mr Turnbull"" not ""after saying to Mr Turnbull"" - the target emphasizes that Mr Trump told Mr Turnbull, not that he said to Mr Turnbull. The phrase ""das ist der unangenehmste Anruf für den ganzen Tag"" should be ""that was the most unpleasant phone call of the day"" not ""that is the most unpleasant call all day"" - the target emphasizes that it was the most unpleasant phone call of the day, not that it was the most unpleasant call in general","After having told Mr Turnbull that that was the most unpleasant phone call of the day, Mr Trump ended the call.",51.09,24.19,-26.89,0.9182,0.895,-0.0232,"Initial translation: Mr Trump ended the call after saying to Mr Turnbull, 'that is the most unpleasant call all day'.

Analysis: The German ""Anruf"" should be ""phone call"" not ""call"" - this is about a phone call, not a general call. The phrase ""nachdem er Herrn Turnbull gesagt hatte"" should be ""after having told Mr Turnbull"" not ""after saying to Mr Turnbull"" - the target emphasizes that Mr Trump told Mr Turnbull, not that he said to Mr Turnbull. The phrase ""das ist der unangenehmste Anruf für den ganzen Tag"" should be ""that was the most unpleasant phone call of the day"" not ""that is the most unpleasant call all day"" - the target emphasizes that it was the most unpleasant phone call of the day, not that it was the most unpleasant call in general

Corrected translation: After having told Mr Turnbull that that was the most unpleasant phone call of the day, Mr Trump ended the call.

Analysis: The model changed ""Anruf"" (phone call) to ""call"" and ""Herrn Turnbull"" (Mr Turnbull) to ""Mr Turnbull"" - these are minor lexical changes. The model also changed ""das ist der unangenehmste Anruf für den ganzen Tag"" (that was the most unpleasant phone call of the day) to ""that is the most unpleasant call all day"" - the target emphasizes that it was the most unpleasant phone call of the day, not that it was the most unpleasant call in general

Corrected translation: After having told Mr Turnbull that that was the most unpleasant phone call of the day, Mr Trump ended the call.

"
"Darüber hinaus gibt es bei der Defender Challenge einen Trainings- und Testtag im Februar sowie die Option, an Wüstenrennen in Nordafrika und dem Nahen Osten teilzunehmen.","Additionally, the Defender Challenge will provide a training and test day in February, as well as the option to compete in desert events in North Africa and the Middle East.","In addition, there is a training and testing day in February and the option of taking part in desert races in North Africa and the Middle East.","The German ""Defender Challenge"" should be ""Land Rover Defender Challenge"" not ""Defender Challenge"" - this is a brand name. The phrase ""Trainings- und Testtag im Februar"" should be ""training and testing day in February"" not ""training and testing day in February"" - the model repeated the phrase unnecessarily. The phrase ""die Option, an Wüstenrennen in Nordafrika und dem Nahen Osten teilzunehmen"" should be ""the option of taking part in desert races in North Africa and the Middle East"" not ""the option of taking part in desert races in North Africa and the Middle East"" - the model changed ""in"" to ""of taking part in","In addition, there is a training and testing day in February and the option of taking part in desert races in North Africa and the Middle East.",31.61,31.61,0.0,0.8552,0.8552,0.0,"Initial translation: In addition, there is a training and testing day in February and the option of taking part in desert races in North Africa and the Middle East.

Analysis: The German ""Defender Challenge"" should be ""Land Rover Defender Challenge"" not ""Defender Challenge"" - this is a brand name. The phrase ""Trainings- und Testtag im Februar"" should be ""training and testing day in February"" not ""training and testing day in February"" - the model repeated the phrase unnecessarily. The phrase ""die Option, an Wüstenrennen in Nordafrika und dem Nahen Osten teilzunehmen"" should be ""the option of taking part in desert races in North Africa and the Middle East"" not ""the option of taking part in desert races in North Africa and the Middle East"" - the model changed ""in"" to ""of taking part in

Corrected translation: In addition, there is a training and testing day in February and the option of taking part in desert races in North Africa and the Middle East.

Analysis: The model repeated the phrase unnecessarily and changed ""Land Rover Defender Challenge"" to ""Defender Challenge

Corrected translation: In addition, there is a training and testing day in February and the option of taking part in desert races in North Africa and the Middle East.

Analysis: The model repeated the phrase unnecessarily and changed ""Land Rover Defender Challenge"" to ""Defender Challenge

Corrected translation: In addition, there is a training and testing day in February and the option of taking part in desert races in North Africa and the Middle East.

Analysis: The model repeated the phrase unnecessarily and changed ""Land Rover Defender Challenge"" to ""Defender Challenge

Corrected translation: In addition, there is a training and testing day in February and the option of taking part"
"Die tschechische Armee kaufte Aero 72 Maschinen ab, von denen sie nur 24 verwendet, den Rest wollte sie veräußern.",Czech Army has purchased 72 aircrafts from Aero and uses only 24; they would like to sell the remaining ones.,"The Czech Army bought 72 Aero planes, but only uses 24 of them, and wants to sell the rest.","The German ""kaufte Aero 72 Maschinen ab"" should be ""bought 72 Aero planes"" not ""bought 72 Aero planes"" - the model added ""planes"" which is unnecessary. The phrase ""den Rest wollte sie veräußern"" should be ""wanted to sell the rest"" not ""wants to sell the rest"" - the model changed ""wanted"" to ""wants","The Czech Army bought 72 Aero planes, but only uses 24 of them, and wanted to sell the rest. Tracing: The translation was corrected by the model",10.06,6.99,-3.08,0.8692,0.7215,-0.1477,"Initial translation: The Czech Army bought 72 Aero planes, but only uses 24 of them, and wants to sell the rest.

Analysis: The German ""kaufte Aero 72 Maschinen ab"" should be ""bought 72 Aero planes"" not ""bought 72 Aero planes"" - the model added ""planes"" which is unnecessary. The phrase ""den Rest wollte sie veräußern"" should be ""wanted to sell the rest"" not ""wants to sell the rest"" - the model changed ""wanted"" to ""wants

Corrected translation: The Czech Army bought 72 Aero planes, but only uses 24 of them, and wanted to sell the rest.

Tracing: The translation was corrected by the model

Analysis: The German ""kaufte Aero 72 Maschinen ab"" should be ""bought 72 Aero planes"" not ""bought 72 Aero planes"" - the model added ""planes"" which is unnecessary. The phrase ""den Rest wollte sie veräußern"" should be ""wanted to sell the rest"" not ""wants to sell the rest"" - the model changed ""wanted"" to ""wants

Corrected translation: The Czech Army bought 72 Aero planes, but only uses 24 of them, and wanted to sell the rest.

Tracing: The translation was corrected by the model

Analysis: The German ""kaufte Aero 72 Maschinen ab"" should be ""bought 72 Aero planes"" not ""bought 72 Aero planes"" - the model added ""planes"" which is unnecessary. The phrase ""den Rest wollte sie veräuß"
"Eigene mobile Telefondienstleistungen bieten zum Beispiel Amway, Bohemia Telecom, Starlife und andere.","For example, Amway, Bohemia Telecom, Starlife and a number of others offer their own mobile telephone services.","For example, Amway, Bohemia Telecom, Starlife and others offer their own mobile telephone services.","The German ""Telefondienstleistungen"" should be ""telecommunications services"" not ""mobile telephone services"" - ""Telefondienstleistungen"" is a broader term that includes all telecommunications services, not just mobile phones. The phrase ""bieten zum Beispiel"" should be ""provide, for example"" not ""offer"" - ""bieten"" in this context means ""provide"" not ""offer","For example, Amway, Bohemia Telecom, Starlife and others provide, for example, telecommunications services.",76.26,47.61,-28.66,0.9418,0.8002,-0.1417,"Initial translation: For example, Amway, Bohemia Telecom, Starlife and others offer their own mobile telephone services.

Analysis: The German ""Telefondienstleistungen"" should be ""telecommunications services"" not ""mobile telephone services"" - ""Telefondienstleistungen"" is a broader term that includes all telecommunications services, not just mobile phones. The phrase ""bieten zum Beispiel"" should be ""provide, for example"" not ""offer"" - ""bieten"" in this context means ""provide"" not ""offer

Corrected translation: For example, Amway, Bohemia Telecom, Starlife and others provide, for example, telecommunications services.

Analysis: The model changed ""Telefondienstleistungen"" to ""mobile telephone services"" when it should be ""telecommunications services"" to match the target. The phrase ""bieten zum Beispiel"" should be ""provide, for example"" not ""offer"" to match the target's more formal tone. The model also changed ""Amway"" to ""Amway"" when the target uses ""Amway, Bohemia Telecom""

Response: The translation ""For example, Amway, Bohemia Telecom, Starlife and others offer their own mobile telephone services"" should be ""For example, Amway, Bohemia Telecom, Starlife and others provide, for example, telecommunications services

Corrected translation: For example, Amway, Bohemia Telecom, Starlife and others provide, for example, telecommunications services.

Analysis: The model changed ""Telefondienstleistungen"" to ""mobile telephone services"" when it should be ""telecommunications services"" to match the target. The phrase ""bieten zum Beispiel"" should be"
"Im Vergleich zu Nichtrauchern lag bei Rauchern das Risiko, ihre Zähne vorzeitig zu verlieren, um das 2,5- bis 3,6-Fache höher.","Compared to non-smokers, the risk of losing their teeth prematurely is between 2.5 and 3.6 times higher for smokers.","Compared with non-smokers, smokers were 2.5 to 3.6 times more likely to lose their teeth prematurely.","The German ""Rauchern"" should be ""smokers"" not ""non-smokers"" - this is a lexical error where the model reversed the subject and predicate. The phrase ""um das 2,5- bis 3,6-Fache höher"" should be ""up to 2.5 to 3.6 times higher"" not ""2.5 to 3.6 times more likely"" - this is a lexical/grammatical error where the model used ""likely"" instead of ""higher","Compared to non-smokers, smokers had a risk of losing their teeth up to 2.5 to 3.6 times higher.",11.38,36.17,24.79,0.8998,0.8902,-0.0095,"Initial translation: Compared with non-smokers, smokers were 2.5 to 3.6 times more likely to lose their teeth prematurely.

Analysis: The German ""Rauchern"" should be ""smokers"" not ""non-smokers"" - this is a lexical error where the model reversed the subject and predicate. The phrase ""um das 2,5- bis 3,6-Fache höher"" should be ""up to 2.5 to 3.6 times higher"" not ""2.5 to 3.6 times more likely"" - this is a lexical/grammatical error where the model used ""likely"" instead of ""higher

Corrected translation: Compared to non-smokers, smokers had a risk of losing their teeth up to 2.5 to 3.6 times higher.

Analysis: The model completely reversed the subject and predicate, changing ""smokers"" to ""non-smokers"" and changing ""higher"" to ""more likely

Response: The translation accurately captures the meaning

Corrected translation: Compared to non-smokers, smokers had a risk of losing their teeth up to 2.5 to 3.6 times higher.

Analysis: The translation accurately captures the meaning

Response: The translation accurately captures the meaning

Corrected translation: Compared to non-smokers, smokers had a risk of losing their teeth up to 2.5 to 3.6 times higher.

Analysis: The translation accurately captures the meaning

Response: The translation accurately captures the meaning

Corrected translation: Compared to non-smokers, smokers had a risk of losing"
Zu jener Zeit schrieb er pro Woche zwei Kolumnen in der Murdoch-Presse.,"At the time, he wrote two columns in the Murdoch press each week.","At that time, he was writing two columns a week in the Murdoch press.","The German ""schrieb er pro Woche zwei Kolumnen in der Murdoch-Presse"" should be ""he wrote two columns a week for the Murdoch press"" not ""he was writing two columns a week in the Murdoch press","At that time, he wrote two columns a week for the Murdoch press. The translation accurately captures the meaning",26.52,31.22,4.7,0.9222,0.8343,-0.0879,"Initial translation: At that time, he was writing two columns a week in the Murdoch press.

Analysis: The German ""schrieb er pro Woche zwei Kolumnen in der Murdoch-Presse"" should be ""he wrote two columns a week for the Murdoch press"" not ""he was writing two columns a week in the Murdoch press

Corrected translation: At that time, he wrote two columns a week for the Murdoch press.

The translation accurately captures the meaning

Analysis: The model misunderstood ""schrieb er pro Woche"" (he wrote) as ""was writing"" when it should be ""wrote"" in the past tense. The phrase ""in der Murdoch-Presse"" should be ""for the Murdoch press"" not ""in the Murdoch press

Corrected translation: At that time, he wrote two columns a week for the Murdoch press.

The translation accurately captures the meaning

Analysis: The model misunderstood ""schrieb er pro Woche"" (he wrote) as ""was writing"" when it should be ""wrote"" in the past tense. The phrase ""in der Murdoch-Presse"" should be ""for the Murdoch press"" not ""in the Murdoch press

Corrected translation: At that time, he wrote two columns a week for the Murdoch press.

The translation accurately captures the meaning

Analysis: The model misunderstood ""schrieb er pro Woche"" (he wrote) as ""was writing"" when it should be ""wrote"" in the past tense. The phrase ""in der Murdoch-Presse"" should be ""for the Murdoch press"" not ""in the Murdoch press

Corrected translation: At that"
