original_row_index,source,reference,initial_translation,analysis,corrected_translation,initial_bleu,final_bleu,bleu_change,initial_comet,final_comet,comet_change
3431,"Die elf europäischen Touristen und ihre acht ägyptischen Begleiter, die elf Tage lang in der Wüste gefangenen gehalten wurden, wurden diesen Montag Nachmittag gesund und unversehrt in die ägyptische Hauptstadt zurückgebracht.",The eleven European tourists and their eight Egyptian escorts held captive for ten days in the desert have been returned on Monday afternoon unharmed to the Egyptian capital.,"The 11 European tourists and their eight Egyptian companions, who had been held captive in the desert for 11 days, were brought back to the Egyptian capital on Monday afternoon.","The German ""wurden diesen Montag Nachmittag gesund und unversehrt in die ägyptische Hauptstadt zurückgebracht"" should be ""were brought back to Cairo healthy and unharmed on Monday afternoon"" not ""were brought back to the Egyptian capital on Monday afternoon","The 11 European tourists and their eight Egyptian companions, who had been held captive in the desert for 11 days, were brought back to Cairo healthy and unharmed on Monday afternoon.",31.42,24.14,-7.28,0.8715,0.8795,0.0079
2042,"In Mecklenburg-Vorpommern stürzte die SPD von 35,6 Prozent vor fünf Jahren auf 24 Prozent ab.","In Mecklenburg-Vorpommern, the SPD plummeted from 35.6 percent to 24 percent in five years.","In Mecklenburg-Vorpommern, the SPD fell from 35.6 per cent five years ago to 24 per cent.","The German ""stürzte"" should be ""fell"" not ""stormed"" - this is about political decline, not weather. The phrase ""von 35,6 Prozent"" should be ""from 35.6 percent"" not ""from 35.6 percent"" - this is about percentage decline, not absolute numbers. The word ""vor fünf Jahren"" should be ""five years ago"" not ""five years ago"" - this is about temporal context. The word ""ab"" should be ""to"" not ""down"" - this is about percentage decline, not directional movement. The phrase ""auf 24 Prozent ab"" should be ""to 24 percent"" not ""down to 24 percent"" - this is about percentage decline, not directional movement","In Mecklenburg-Vorpommern, the SPD fell from 35.6 percent five years ago to 24 percent.",28.78,41.21,12.43,0.907,0.9217,0.0147
79,"Wie die Konjunktur auch immer liegt, es werden Niedrigstpreise gefordert, bestätigt der Vorsitzende des Gaststättengremiums von Barcelona, Gaietà Farràs.","Whatever conjuncture, everyone demanded a price war, confirms the president of the Gremi Restoration of Barcelona, Gaiet Farrs.","Whatever the state of the economy, low prices are demanded, confirms the president of the Barcelona restaurant association, Gaietà Farràs.","The German ""Niedrigstpreise"" should be ""lowest prices"" not ""low prices"" - ""Niedrigst"" means ""lowest"" not ""low"" in this context. The word ""Gaststättengremium"" should be ""association of restaurants"" not ""restaurant association"" - this is a specific German term for this type of organization. The phrase ""es werden Niedrigstpreise gefordert"" should be ""lowest prices are demanded"" not ""low prices are demanded"" - the target emphasizes ""lowest"" over ""low","As the economic situation is, lowest prices are demanded, confirms the president of the association of restaurants of Barcelona, Gaietà Farràs.",23.52,25.38,1.86,0.7701,0.7001,-0.07
4663,"4 Menschen getötet, nachdem Polizisten Gummigeschosse auf Demonstranten in Nepal schießen",4 Killed After Police Fire Rubber Bullets at Protesters in Nepal,Four people have been killed after police fired rubber bullets at demonstrators in Nepal.,"The German ""Gummigeschosse"" should be ""rubber bullets"" not ""rubber bullets"" - this is a lexical error where the model changed ""Gummigeschosse"" to ""rubber bullets"" when it should be ""rubber bullets",Four people have been killed after police fired rubber bullets at demonstrators in Nepal.,5.82,5.82,0,0.88,0.88,0
3640,"Es ist nicht nur in unserer Nähe, es ist in uns', betonte er, wie um deutlich zu zeigen, dass er einen nationalen Gründertraum zu verwirklichen sucht.","Not only is it with us, but it's also us"", he insisted, to better show this he solicited a national founding myth.","It is not only in our neighbourhood, it is in us', he stressed, as if to emphasise that he is seeking to realise a national founding myth.","The German ""Es ist nicht nur in unserer Nähe, es ist in uns'"" should be ""It is not just in our neighbourhood, it is in us"" not ""It is not only in our neighbourhood, it is in us'"" - the model changed ""in us'"" to ""in us'","It is not just in our neighbourhood, it is in us, he stressed, as if to emphasise that he is seeking to realise a national founding myth.",15.36,16.07,0.72,0.7214,0.723,0.0016
65,"""Human Rights First hatte lange Zeit über betont, dass die gegen Muslime gerichtete Gewalt, ebenso wie sämtliche Formen von Hassverbrechen als schwerer Gesetzesverstoβ gegen die Menschenrechte erachtet werden sollten"", fügte Paul Legendre, ein Verantwortlicher der Organisation, bei.","""Human Rights First has long stressed that acts of violence against Moslems, as well as all forms of hate crime, must be regarded as serious violations of human rights,"" adds one of the managers of the organisation, Paul Legendre.","Human Rights First has long stressed that violence against Muslims, as well as all forms of hate crimes, should be treated as serious violations of human rights, added Paul Legendre, a representative of the organisation.","The German ""Human Rights First hatte lange Zeit über betont, dass die gegen Muslime gerichtete Gewalt, ebenso wie sämtliche Formen von Hassverbrechen als schwerer Gesetzesverstoβ gegen die Menschenrechte erachtet werden sollten"" was completely omitted from the translation. The phrase ""ebenso wie sämtliche Formen von Hassverbrechen als schwerer Gesetzesverstoβ gegen die Menschenrechte erachtet werden sollten"" was translated as ""as well as all forms of hate crimes should be treated as serious violations of human rights","""Human Rights First has long stressed that violence against Muslims, as well as all forms of hate crimes, should be treated as serious violations of human rights,"" added Paul Legendre, a representative of the organization. The German ""ebenso wie sämtliche Formen von Hassverbrechen als schwerer Gesetzesverstoβ gegen die Menschenrechte erachtet werden sollten"" was completely omitted from the translation. The phrase ""ebenso wie sämtliche Formen von Hassverbrechen als schwerer Gesetzesverstoβ gegen die Menschenrechte erachtet werden sollten"" was translated as ""as well as all forms of hate crimes should be treated as serious violations of human rights",45.26,20.78,-24.48,0.8946,0.5571,-0.3374
1811,"Dabei hat er selbst vor drei Jahren die Bush-Idee - frische Truppenkontingente in den durch den Bürgerkrieg geplagten Irak auszusenden - als ""unverantwortliche und in ihren Folgerungen karastrophische Entscheidung"" kritisiert.","While three years ago he himself criticised Bush's idea to send fresh troops to help in the beleaguered civil war in Iraq as ""an irresponsible decision with catastrophic consequences"".","He himself criticised the Bush idea - of sending fresh troops to Iraq, plagued by civil war - as an 'irresponsible and catastrophic decision'.","The German ""Bush-Idee"" should be ""Bush doctrine"" not ""Bush idea"" - this is a specific foreign policy doctrine named after George W. Bush. The phrase ""frische Truppenkontingente in den durch den Bürgerkrieg geplagten Irak auszusenden"" should be ""to send fresh troops to Iraq, plagued by civil war"" not ""fresh troops to Iraq, plagued by civil war"" - the model changed ""frische"" (fresh) to ""fresh"" and ""Truppenkontingente"" (troop contingents) to ""troops","Three years ago, he himself criticised the Bush doctrine - to send fresh troops to Iraq, plagued by civil war - as an ""irresponsible and catastrophic decision"".",7.46,20.7,13.24,0.8594,0.8674,0.008
1815,"Ich erwarte, dass sich Großbritannien von diesem Projekt distanziert in der Hoffnung, sich bei den USA einzuschmeicheln.","I expect the UK will distance itself from this project, hoping to cosy up to the US.",I expect that Britain will distance itself from this project in the hope of currying favour with the United States.,"The German ""Ich erwarte, dass sich Großbritannien von diesem Projekt distanziert in der Hoffnung, sich bei den USA einzuschmeicheln"" was completely omitted from the translation. The phrase ""Ich erwarte, dass sich Großbritannien von diesem Projekt distanziert in der Hoffnung, sich bei den USA einzuschmeicheln"" (I expect that Britain will distance itself from this project in the hope of currying favour with the United States) was completely omitted from the translation. The phrase ""in der Hoffnung, sich bei den USA einzuschmeicheln"" (in the hope of currying favour with the United States) was completely omitted from the translation. The phrase ""Ich erwarte, dass sich Großbritannien von diesem Projekt distanziert in der Hoffnung, sich bei den USA einzuschmeicheln"" was completely omitted from the translation",I expect that Britain will distance itself from this project in the hope of currying favour with the United States.,27.25,27.25,0,0.8649,0.8649,0
1727,Von dem Brand waren auch eine Fernwärme- und eine Stromleitung betroffen.,A district heating pipe and a power supply line were also affected by the fire.,The fire also affected a district heating pipeline and a power cable.,"The German ""Fernwärme- und eine Stromleitung"" should be ""a district heating pipeline and an electricity cable"" not ""a district heating pipeline and a power cable"" - ""Fernwärme"" is district heating, not ""power"" in this context. The phrase ""wurden auch"" should be ""were also"" not ""affected"" - this is about being affected by the fire, not being damaged by it. The word ""Leitung"" should be ""pipeline"" not ""cable"" in this context. The word ""Strom"" should be ""electricity"" not ""power"" to match the target terminology",The fire also affected a district heating pipeline and an electricity cable.,14.29,8.25,-6.04,0.89,0.8804,-0.0096
4918,"""Das ist ein echtes Problem, und es ist nicht weit hergeholt zu denken, dass die Leute sich dort ein Zimmer mieten und sich dann dort darauf einstellen, eine Übung aufzuzeichnen.","""That is a real concern and it's not far-fetched to think that people can rent a room and sit up there and videotape a practice.","This is a real problem, and it is not far-fetched to think that people will rent a room there and then register for a class.","The German ""echtes Problem"" should be ""serious problem"" not ""real problem"" - ""echtes"" is more formal than ""real","""This is a serious problem, and it is not far-fetched to think that people will rent a room there and then register for a class.",29.19,26.14,-3.05,0.8031,0.8207,0.0176
