source,reference,initial_translation,analysis,corrected_translation,initial_bleu,final_bleu,bleu_change,initial_comet,final_comet,comet_change,raw_output
有时这一风险包括众所周知的政府与企业之间的“旋转门 ” ， 即私人部门高级岗位与高级官员岗位之间的人事互换。,"Sometimes the risk entails the proverbial “revolving door” between government and business, through which personnel glide from senior private-sector jobs to top official posts and back again.","Sometimes this risk includes the well-known “revolving door” between government and business, whereby senior positions in the private sector are exchanged for senior positions in government.",the translation accurately captures the meaning,"Sometimes this risk includes the well-known “revolving door” between government and business, whereby senior positions in the private sector are exchanged for senior positions in government.",22.9,22.9,0.0,0.8423,0.8423,0.0,"Initial translation: Sometimes this risk includes the well-known “revolving door” between government and business, whereby senior positions in the private sector are exchanged for senior positions in government.

Analysis: the translation accurately captures the meaning

Corrected translation: Sometimes this risk includes the well-known “revolving door” between government and business, whereby senior positions in the private sector are exchanged for senior positions in government.Initial translation: Sometimes this risk includes the well-known “revolving door” between government and business, whereby senior positions in the private sector are exchanged for senior positions in government.

Analysis: the translation accurately captures the meaning

Corrected translation: Sometimes this risk includes the well-known “revolving door” between government and business, whereby senior positions in the private sector are exchanged for senior positions in government.Initial translation: Sometimes this risk includes the well-known “revolving door” between government and business, whereby senior positions in the private sector are exchanged for senior positions in government.

Analysis: the translation accurately captures the meaning

Corrected translation: Sometimes this risk includes the well-known “revolving door” between government and business, whereby senior positions in the private sector are exchanged for senior positions in government.Initial translation: Sometimes this risk includes the well-known “revolving door” between government and business, whereby senior positions in the private sector are exchanged for senior positions in government.

Analysis: the translation accurately captures the meaning

Corrected translation: Sometimes this risk includes the well-known “revolving door” between government and business, whereby senior positions in the private sector are exchanged for senior positions in government.Initial translation: Sometimes this risk includes the well-known “revolving door” between government and business, whereby senior positions in the private sector are exchanged for senior positions in government.

Analysis: the translation accurately captures the meaning

Corrected translation: Sometimes this risk includes the well-known “revolving door” between government and business, whereby senior positions in the private sector are exchanged for senior positions in government."
比约恩·隆姆博格，哥本哈根共识中心的主任，是哥本哈根商学院兼职教授，著有《怀疑主义环保分子并请冷静：怀疑主义环保分子之全球变暖指南 》 。,"That our profligate consumption requires five planets is a catchy story, but it is wrong. The planet we have is more than enough.","Bjørn Lomborg, the director of the Copenhagen Consensus Center, is a visiting professor at the Copenhagen Business School and the author of The Skeptical Environmentalist: Measuring the Real State of the World.",the translation accurately captures the meaning,"Bjørn Lomborg, the director of the Copenhagen Consensus Center, is a visiting professor at the Copenhagen Business School and the author of The Skeptical Environmentalist: Measuring the Real State of the World.",2.58,2.58,0.0,0.5401,0.5401,0.0,"Initial translation: Bjørn Lomborg, the director of the Copenhagen Consensus Center, is a visiting professor at the Copenhagen Business School and the author of The Skeptical Environmentalist: Measuring the Real State of the World.

Analysis: the translation accurately captures the meaning

Corrected translation: Bjørn Lomborg, the director of the Copenhagen Consensus Center, is a visiting professor at the Copenhagen Business School and the author of The Skeptical Environmentalist: Measuring the Real State of the World.Initial translation: Bjørn Lomborg, the director of the Copenhagen Consensus Center, is a visiting professor at the Copenhagen Business School and the author of The Skeptical Environmentalist: Measuring the Real State of the World.

Analysis: the translation accurately captures the meaning

Corrected translation: Bjørn Lomborg, the director of the Copenhagen Consensus Center, is a visiting professor at the Copenhagen Business School and the author of The Skeptical Environmentalist: Measuring the Real State of the World.Initial translation: Bjørn Lomborg, the director of the Copenhagen Consensus Center, is a visiting professor at the Copenhagen Business School and the author of The Skeptical Environmentalist: Measuring the Real State of the World.

Analysis: the translation accurately captures the meaning

Corrected translation: Bjørn Lomborg, the director of the Copenhagen Consensus Center, is a visiting professor at the Copenhagen Business School and the author of The Skeptical Environmentalist: Measuring the Real State of the World.Initial translation: Bjørn Lomborg, the director of the Copenhagen Consensus Center, is a visiting professor at the Copenhagen Business School and the author of The Skeptical Environmentalist: Measuring the Real State of the World.

Analysis: the translation accurately captures the meaning

Corrected translation: Bjørn Lomborg, the director of the Copenhagen Consensus Center, is a visiting professor at the Copenhagen Business School and the author of"
2001年，英国足总（英国足球监管机构）启动了为期五年的儿童安全措施评估，但只开展了两年便不了了之，据说是因为一些足总工作人员的抵制。,"The five-year review of child safety measures, launched by the Football Association (the governing body of UK soccer) in 2001, was dropped after just two years, reportedly in response to resistance from some FA staff.","In 2001, the Football Association (the governing body for soccer in England) launched a five-year assessment of child-safety measures, but abandoned it after two years, reportedly because of resistance from FA staff.",the translation accurately captures the meaning,"In 2001, the Football Association (the governing body for soccer in England) launched a five-year assessment of child-safety measures, but abandoned it after two years, reportedly because of resistance from FA staff.",28.34,28.34,0.0,0.9023,0.9023,0.0,"Initial translation: In 2001, the Football Association (the governing body for soccer in England) launched a five-year assessment of child-safety measures, but abandoned it after two years, reportedly because of resistance from FA staff.

Analysis: the translation accurately captures the meaning

Corrected translation: In 2001, the Football Association (the governing body for soccer in England) launched a five-year assessment of child-safety measures, but abandoned it after two years, reportedly because of resistance from FA staff.Initial translation: In 2001, the Football Association (the governing body for soccer in England) launched a five-year assessment of child-safety measures, but abandoned it after two years, reportedly because of resistance from FA staff.

Analysis: the translation accurately captures the meaning

Corrected translation: In 2001, the Football Association (the governing body for soccer in England) launched a five-year assessment of child-safety measures, but abandoned it after two years, reportedly because of resistance from FA staff.Initial translation: In 2001, the Football Association (the governing body for soccer in England) launched a five-year assessment of child-safety measures, but abandoned it after two years, reportedly because of resistance from FA staff.

Analysis: the translation accurately captures the meaning

Corrected translation: In 2001, the Football Association (the governing body for soccer in England) launched a five-year assessment of child-safety measures, but abandoned it after two years, reportedly because of resistance from FA staff.Initial translation: In 2001, the Football Association (the governing body for soccer in England) launched a five-year assessment of child-safety measures, but abandoned it after two years, reportedly because of resistance from FA staff.

Analysis: the translation accurately captures the meaning

Corrected translation: In 2001, the Football Association (the governing body for soccer in England) launched a five-year assessment of child-safety measures, but abandoned it after two years,"
如果这种令人不满意的发展再持续15 到 20年，墨西哥就会变成一个像葡萄牙、希腊或波兰这样的下层中产阶级国家。,"Given 15 to 20 more years of this unsatisfactory progress, Mexico will become a lower-middle class country like Portugal, Greece, or Poland.","If this unsatisfactory development continues for another 15-20 years, Mexico will become a lower-middle-income country like Portugal, Greece, or Poland.",the translation accurately captures the meaning,"If this unsatisfactory development continues for another 15-20 years, Mexico will become a lower-middle-income country like Portugal, Greece, or Poland.",48.44,48.44,0.0,0.9076,0.9076,0.0,"Initial translation: If this unsatisfactory development continues for another 15-20 years, Mexico will become a lower-middle-income country like Portugal, Greece, or Poland.

Analysis: the translation accurately captures the meaning

Corrected translation: If this unsatisfactory development continues for another 15-20 years, Mexico will become a lower-middle-income country like Portugal, Greece, or Poland.Initial translation: If this unsatisfactory development continues for another 15-20 years, Mexico will become a lower-middle-income country like Portugal, Greece, or Poland.

Analysis: the translation accurately captures the meaning

Corrected translation: If this unsatisfactory development continues for another 15-20 years, Mexico will become a lower-middle-income country like Portugal, Greece, or Poland.Initial translation: If this unsatisfactory development continues for another 15-20 years, Mexico will become a lower-middle-income country like Portugal, Greece, or Poland.

Analysis: the translation accurately captures the meaning

Corrected translation: If this unsatisfactory development continues for another 15-20 years, Mexico will become a lower-middle-income country like Portugal, Greece, or Poland.Initial translation: If this unsatisfactory development continues for another 15-20 years, Mexico will become a lower-middle-income country like Portugal, Greece, or Poland.

Analysis: the translation accurately captures the meaning

Corrected translation: If this unsatisfactory development continues for another 15-20 years, Mexico will become a lower-middle-income country like Portugal, Greece, or Poland.Initial translation: If this unsatisfactory development continues for another 15-20 years, Mexico will become a lower-middle-income country like Portugal, Greece, or Poland.

Analysis: the translation accurately captures the meaning

Corrected translation: If this unsatisfactory development continues for another 15-20 years, Mexico will become a lower-middle-income country like Portugal, Greece, or Poland.Initial translation: If this unsatisfactory development continues"
不仅如此，真正意义上的技术执政将建立一支有官僚管理经验的健全的公务员队伍，利用大数据来衡量和优化福利政策。,"Moreover, a real technocracy would boast a robust civil service trained in bureaucratic management techniques that use data to measure and optimize welfare.","Moreover, a truly technocratic government would establish a competent civil service with experience in bureaucratic management, using big data to measure and optimize welfare policies.",the translation accurately captures the meaning,"Moreover, a truly technocratic government would establish a competent civil service with experience in bureaucratic management, using big data to measure and optimize welfare policies.",28.09,28.09,0.0,0.8797,0.8797,0.0,"Initial translation: Moreover, a truly technocratic government would establish a competent civil service with experience in bureaucratic management, using big data to measure and optimize welfare policies.

Analysis: the translation accurately captures the meaning

Corrected translation: Moreover, a truly technocratic government would establish a competent civil service with experience in bureaucratic management, using big data to measure and optimize welfare policies.Initial translation: Moreover, a truly technocratic government would establish a competent civil service with experience in bureaucratic management, using big data to measure and optimize welfare policies.

Analysis: the translation accurately captures the meaning

Corrected translation: Moreover, a truly technocratic government would establish a competent civil service with experience in bureaucratic management, using big data to measure and optimize welfare policies.Initial translation: Moreover, a truly technocratic government would establish a competent civil service with experience in bureaucratic management, using big data to measure and optimize welfare policies.

Analysis: the translation accurately captures the meaning

Corrected translation: Moreover, a truly technocratic government would establish a competent civil service with experience in bureaucratic management, using big data to measure and optimize welfare policies.Initial translation: Moreover, a truly technocratic government would establish a competent civil service with experience in bureaucratic management, using big data to measure and optimize welfare policies.

Analysis: the translation accurately captures the meaning

Corrected translation: Moreover, a truly technocratic government would establish a competent civil service with experience in bureaucratic management, using big data to measure and optimize welfare policies.Initial translation: Moreover, a truly technocratic government would establish a competent civil service with experience in bureaucratic management, using big data to measure and optimize welfare policies.

Analysis: the translation accurately captures the meaning

Corrected translation: Moreover, a truly technocratic government would establish a competent civil service with experience in bureaucratic management, using big data to measure and optimize welfare policies.Initial translation: Moreover, a truly technocratic government would establish a competent civil service with experience in bureaucratic management, using big data to measure and optimize welfare"
发自华盛顿 — — 虽然沙特驻美大使阿德尔·朱拜尔在美国宣称挫败的暗杀阴谋中毫发未伤，但如果这一行动的真正目标并不是朱拜尔，而是为了破坏伊朗总统内贾德的外交政策的话，那么策划者的目的或许已经实现了。,"WASHINGTON, DC – Though Saudi Ambassador Adel al-Jubeir is alive and well in Washington, the plot to assassinate him may have succeeded – if its aim was not to kill al-Jubeir, but rather Iranian President Mahmoud Ahmadinejad’s foreign policy.","WASHINGTON, DC – While Saudi Arabia’s ambassador to the United States, Adel al-Jubeir, emerged unscathed from the failed assassination attempt in the US, if the true target was not Jubeir, but rather Iranian President Mahmoud Ahmadinejad’s foreign policy, then the plotters may have succeeded in their objective.",the translation accurately captures the meaning,"WASHINGTON, DC – While Saudi Arabia’s ambassador to the United States, Adel al-Jubeir, emerged unscathed from the failed assassination attempt in the US, if the true target was not Jubeir, but rather Iranian President Mahmoud Ahmadinejad’s foreign policy, then the plotters may have succeeded in their objective.",25.12,25.12,0.0,0.8477,0.8477,0.0,"Initial translation: WASHINGTON, DC – While Saudi Arabia’s ambassador to the United States, Adel al-Jubeir, emerged unscathed from the failed assassination attempt in the US, if the true target was not Jubeir, but rather Iranian President Mahmoud Ahmadinejad’s foreign policy, then the plotters may have succeeded in their objective.

Analysis: the translation accurately captures the meaning

Corrected translation: WASHINGTON, DC – While Saudi Arabia’s ambassador to the United States, Adel al-Jubeir, emerged unscathed from the failed assassination attempt in the US, if the true target was not Jubeir, but rather Iranian President Mahmoud Ahmadinejad’s foreign policy, then the plotters may have succeeded in their objective.Initial translation: WASHINGTON, DC – While Saudi Arabia’s ambassador to the United States, Adel al-Jubeir, emerged unscathed from the failed assassination attempt in the US, if the true target was not Jubeir, but rather Iranian President Mahmoud Ahmadinejad’s foreign policy, then the plotters may have succeeded in their objective.

Analysis: the translation accurately captures the meaning

The translation accurately captures the meaning

Corrected translation: WASHINGTON, DC – While Saudi Arabia’s ambassador to the United States, Adel al-Jubeir, emerged unscathed from the failed assassination attempt in the US, if the true target was not Jubeir, but rather Iranian President Mahmoud Ahmadinejad’s foreign policy, then the plotters may have succeeded in their objective.Initial translation: WASHINGTON, DC – While Saudi Arabia’s ambassador to the United States, Adel al-Jubeir, emerged unscathed from the failed assassination attempt in the US, if the true target was not Jubeir, but rather Iranian President Mahmoud Ahmadinejad’s foreign policy, then the plotters may have succeeded in their objective.

Analysis: the translation accurately captures the meaning

The translation accurately captures"
持续60年的残酷镇压甚至都难以让西藏和新疆认同这一点，这从2008年的西藏人和2009年的维吾尔人爆乱中可以得知。,"Six decades of ruthless repression has failed to win China acceptance even in Tibet and Xinjiang, as the Tibetan and Uighur revolts of 2008 and 2009 attested.","Even 60 years of brutal repression have failed to convince Tibetans and Uyghurs, as the riots of 2008 in Tibet and 2009 in Xinjiang showed.",the translation accurately captures the meaning,"Even 60 years of brutal repression have failed to convince Tibetans and Uyghurs, as the riots of 2008 in Tibet and 2009 in Xinjiang showed.",11.86,11.86,0.0,0.8472,0.8472,0.0,"Initial translation: Even 60 years of brutal repression have failed to convince Tibetans and Uyghurs, as the riots of 2008 in Tibet and 2009 in Xinjiang showed.

Analysis: the translation accurately captures the meaning

Corrected translation: Even 60 years of brutal repression have failed to convince Tibetans and Uyghurs, as the riots of 2008 in Tibet and 2009 in Xinjiang showed.Initial translation: Even 60 years of brutal repression have failed to convince Tibetans and Uyghurs, as the riots of 2008 in Tibet and 2009 in Xinjiang showed.

Analysis: the translation accurately captures the meaning

Corrected translation: Even 60 years of brutal repression have failed to convince Tibetans and Uyghurs, as the riots of 2008 in Tibet and 2009 in Xinjiang showed.Initial translation: Even 60 years of brutal repression have failed to convince Tibetans and Uyghurs, as the riots of 2008 in Tibet and 2009 in Xinjiang showed.

Analysis: the translation accurately captures the meaning

Corrected translation: Even 60 years of brutal repression have failed to convince Tibetans and Uyghurs, as the riots of 2008 in Tibet and 2009 in Xinjiang showed.Initial translation: Even 60 years of brutal repression have failed to convince Tibetans and Uyghurs, as the riots of 2008 in Tibet and 2009 in Xinjiang showed.

Analysis: the translation accurately captures the meaning

Corrected translation: Even 60 years of brutal repression have failed to convince Tibetans and Uyghurs, as the riots of 2008 in Tibet and 2009 in Xinjiang showed.Initial translation: Even 60 years of brutal repression have failed to convince Tibetans and Uyghurs, as the riots of 2008 in Tibet and 2009 in Xinjiang showed.

Analysis: the translation accurately captures the meaning

"
不过人们必须担心五大科技企业的统治力、盈利能力和业务覆盖范围是否已经过大，以至于创业公司很难对其发起挑战，最终扼杀了创新。,"Still, one has to worry that the big five tech firms have become so dominant, so profitable, and so encompassing that it has become very difficult for startups to challenge them, thereby stifling innovation.","But one must worry that the dominance, profitability, and scope of the Big Five have become so great that it is difficult for start-ups to challenge them, ultimately stifling innovation.",the translation accurately captures the meaning,"But one must worry that the dominance, profitability, and scope of the Big Five have become so great that it is difficult for start-ups to challenge them, ultimately stifling innovation.",15.83,15.83,0.0,0.8715,0.8715,0.0,"Initial translation: But one must worry that the dominance, profitability, and scope of the Big Five have become so great that it is difficult for start-ups to challenge them, ultimately stifling innovation.

Analysis: the translation accurately captures the meaning

Corrected translation: But one must worry that the dominance, profitability, and scope of the Big Five have become so great that it is difficult for start-ups to challenge them, ultimately stifling innovation.Initial translation: But one must worry that the dominance, profitability, and scope of the Big Five have become so great that it is difficult for start-ups to challenge them, ultimately stifling innovation.

Analysis: the translation accurately captures the meaning

Corrected translation: But one must worry that the dominance, profitability, and scope of the Big Five have become so great that it is difficult for start-ups to challenge them, ultimately stifling innovation.Initial translation: But one must worry that the dominance, profitability, and scope of the Big Five have become so great that it is difficult for start-ups to challenge them, ultimately stifling innovation.

Analysis: the translation accurately captures the meaning

Corrected translation: But one must worry that the dominance, profitability, and scope of the Big Five have become so great that it is difficult for start-ups to challenge them, ultimately stifling innovation.Initial translation: But one must worry that the dominance, profitability, and scope of the Big Five have become so great that it is difficult for start-ups to challenge them, ultimately stifling innovation.

Analysis: the translation accurately captures the meaning

Corrected translation: But one must worry that the dominance, profitability, and scope of the Big Five have become so great that it is difficult for start-ups to challenge them, ultimately stifling innovation.Initial translation: But one must worry that the dominance, profitability, and scope of the Big Five have become so great that it is difficult for start-ups to challenge them, ultimately stifling innovation.

Analysis: the translation accurately captures the meaning

"
这有利于刺激它们自身增长，同时为中国经济创造空间，向生产率和工资 — — 消费的重要决定因素 — — 更高的价值链上游迈进。,"That promises to boost their own growth while creating space for the Chinese economy to move up the value chain, where productivity and wages – important determinants of consumption – are higher.","This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain, toward higher productivity and wages – important drivers of consumption.",the translation accurately captures the meaning,"This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain, toward higher productivity and wages – important drivers of consumption.",56.36,56.36,0.0,0.8925,0.8925,0.0,"Initial translation: This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain, toward higher productivity and wages – important drivers of consumption.

Analysis: the translation accurately captures the meaning

Corrected translation: This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain, toward higher productivity and wages – important drivers of consumption.Initial translation: This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain, toward higher productivity and wages – important drivers of consumption.

Analysis: the translation accurately captures the meaning

Corrected translation: This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain, toward higher productivity and wages – important drivers of consumption.Initial translation: This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain, toward higher productivity and wages – important drivers of consumption.

Analysis: the translation accurately captures the meaning

Corrected translation: This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain, toward higher productivity and wages – important drivers of consumption.Initial translation: This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain, toward higher productivity and wages – important drivers of consumption.

Analysis: the translation accurately captures the meaning

Corrected translation: This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain, toward higher productivity and wages – important drivers of consumption.Initial translation: This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain, toward higher productivity and wages – important drivers of consumption.

Analysis: the translation accurately captures the meaning

Corrected translation: This would help to stimulate their own growth, while creating space for the"
在今年早些时候举行的纽约第14区民主党初选中，民主社会主义人士亚历山大·奥卡西奥·科尔特斯击败了现任众议院议员、在众议院排名第四的民主党人约瑟夫·克劳利。,"In the Democratic primary election for New York’s 14th district earlier this year, democratic socialist Alexandria Ocasio-Cortez trounced incumbent Representative Joseph Crowley, the fourth-ranking Democrat in the House.","In the Democratic primary in New York’s 14th congressional district earlier this year, the democratic socialist Alexandria Ocasio-Cortez defeated incumbent Representative Joseph Crowley, the fourth-ranking Democrat in the House of Representatives.",the translation accurately captures the meaning,"In the Democratic primary in New York’s 14th congressional district earlier this year, the democratic socialist Alexandria Ocasio-Cortez defeated incumbent Representative Joseph Crowley, the fourth-ranking Democrat in the House of Representatives.",57.97,57.97,0.0,0.8771,0.8771,0.0,"Initial translation: In the Democratic primary in New York’s 14th congressional district earlier this year, the democratic socialist Alexandria Ocasio-Cortez defeated incumbent Representative Joseph Crowley, the fourth-ranking Democrat in the House of Representatives.

Analysis: the translation accurately captures the meaning

Corrected translation: In the Democratic primary in New York’s 14th congressional district earlier this year, the democratic socialist Alexandria Ocasio-Cortez defeated incumbent Representative Joseph Crowley, the fourth-ranking Democrat in the House of Representatives.Initial translation: In the Democratic primary in New York’s 14th congressional district earlier this year, the democratic socialist Alexandria Ocasio-Cortez defeated incumbent Representative Joseph Crowley, the fourth-ranking Democrat in the House of Representatives.

Analysis: the translation accurately captures the meaning

Corrected translation: In the Democratic primary in New York’s 14th congressional district earlier this year, the democratic socialist Alexandria Ocasio-Cortez defeated incumbent Representative Joseph Crowley, the fourth-ranking Democrat in the House of Representatives.Initial translation: In the Democratic primary in New York’s 14th congressional district earlier this year, the democratic socialist Alexandria Ocasio-Cortez defeated incumbent Representative Joseph Crowley, the fourth-ranking Democrat in the House of Representatives.

Analysis: the translation accurately captures the meaning

Corrected translation: In the Democratic primary in New York’s 14th congressional district earlier this year, the democratic socialist Alexandria Ocasio-Cortez defeated incumbent Representative Joseph Crowley, the fourth-ranking Democrat in the House of Representatives.Initial translation: In the Democratic primary in New York’s 14th congressional district earlier this year, the democratic socialist Alexandria Ocasio-Cortez defeated incumbent Representative Joseph Crowley, the fourth-ranking Democrat in the House of Representatives.

Analysis: the translation accurately captures the meaning

Corrected translation: In the Democratic primary in New York’s 14th congressional district earlier this year, the democratic socialist Alexandria Ocasio-Cortez defeated incumbent Representative Joseph Crowley, the fourth"
