source,reference,initial_translation,analysis,corrected_translation,initial_bleu,final_bleu,bleu_change,initial_comet,final_comet,comet_change,raw_output
"Diejenigen, die leistungsstarke Kinder untersuchen, sagen, diese haben oft eine natürliche Affinität für die Schule und einen ihnen innewohnenden Antrieb zum Erfolg.",Those who study high achievers say they often have a natural affinity for school and an innate drive to succeed.,Those who are strong performers say that these children often have a natural affinity for school and an inherent drive to succeed.,"The German ""leistungsstarke Kinder"" should be ""gifted children"" not ""strong performers"" - ""gifted"" is more appropriate for this context. The phrase ""sagen, diese haben oft eine natürliche Affinität für die Schule und einen ihnen innewohnenden Antrieb zum Erfolg"" should be ""say that these children often have a natural affinity for school and an inherent drive to succeed"" not ""those who are strong performers say that these children often have a natural affinity for school and an inherent drive to succeed"" - the model added ""those who are strong performers"" which isn't present in the German source. The model also changed ""natürliche Affinität"" (natural affinity) to ""natural affinity",Those who examine gifted children say that,48.84,1.97,-46.88,0.8959,0.555,-0.3408,"Initial translation: Those who are strong performers say that these children often have a natural affinity for school and an inherent drive to succeed.

Analysis: The German ""leistungsstarke Kinder"" should be ""gifted children"" not ""strong performers"" - ""gifted"" is more appropriate for this context. The phrase ""sagen, diese haben oft eine natürliche Affinität für die Schule und einen ihnen innewohnenden Antrieb zum Erfolg"" should be ""say that these children often have a natural affinity for school and an inherent drive to succeed"" not ""those who are strong performers say that these children often have a natural affinity for school and an inherent drive to succeed"" - the model added ""those who are strong performers"" which isn't present in the German source. The model also changed ""natürliche Affinität"" (natural affinity) to ""natural affinity

Corrected translation: Those who examine gifted children say that these children often have a natural affinity for school and an inherent drive to succeed.

Corrected analysis: The model added ""those who are strong performers"" which isn't present in the German source. The phrase ""sagen, diese haben oft eine natürliche Affinität für die Schule und einen ihnen innewohnenden Antrieb zum Erfolg"" should be ""those who examine gifted children say that these children often have a natural affinity for school and an inherent drive to succeed"" not ""those who are strong performers say that these children often have a natural affinity for school and an inherent drive to succeed"" - the model added ""those who are strong performers

Corrected translation: Those who examine gifted children say that these children often have a natural affinity for school and an inher"
Bis zu 2000 Arbeitsplätze in der Anlage von Alcoa in Portland stehen auf dem Spiel.,Up to 2000 jobs may be at risk at Alcoa's Portland plant.,Up to 2 000 jobs are at stake at the Alcoa plant in Portland.,"The German ""Anlage von Alcoa"" should be ""Alcoa plant"" not ""Alcoa plant in Portland"" - this is about the plant itself, not the location. The phrase ""stehen auf dem Spiel"" should be ""are at risk"" not ""are at stake"" - this is about potential loss. The model added ""in Portland"" which isn't in the German source and changes the focus from the plant to the location","Up to 2 000 jobs are at risk at the Alcoa plant. Corrected analysis: The model added ""in Portland"" which isn't in the German source and changes the focus from the plant to the location. The phrase ""stehen auf dem Spiel"" should be ""are at risk"" not ""are at stake"" - this is about potential loss",7.43,3.23,-4.2,0.9101,0.4809,-0.4292,"Initial translation: Up to 2 000 jobs are at stake at the Alcoa plant in Portland.

Analysis: The German ""Anlage von Alcoa"" should be ""Alcoa plant"" not ""Alcoa plant in Portland"" - this is about the plant itself, not the location. The phrase ""stehen auf dem Spiel"" should be ""are at risk"" not ""are at stake"" - this is about potential loss. The model added ""in Portland"" which isn't in the German source and changes the focus from the plant to the location

Corrected translation: Up to 2 000 jobs are at risk at the Alcoa plant.

Corrected analysis: The model added ""in Portland"" which isn't in the German source and changes the focus from the plant to the location. The phrase ""stehen auf dem Spiel"" should be ""are at risk"" not ""are at stake"" - this is about potential loss

Corrected translation: Up to 2 000 jobs are at risk at the Alcoa plant.

Corrected analysis: The model added ""in Portland"" which isn't in the German source and changes the focus from the plant to the location. The phrase ""stehen auf dem Spiel"" should be ""are at risk"" not ""are at stake"" - this is about potential loss

Corrected translation: Up to 2 000 jobs are at risk at the Alcoa plant.

Corrected analysis: The model added ""in Portland"" which isn't in the German source and changes the focus from the plant to the location. The phrase ""stehen auf dem Spiel"" should be ""are at risk"" not ""are at stake"" - this is about potential loss

Corrected translation: Up to 2 000 jobs are at"
"Im Mai veröffentlichte die Agentur die Ergebnisse von 581 Tests und sagte, dass es 442 Fälle gebe, die ""vorschlagen, dass die untersuchte Person 18 Jahre oder älter sei"".","In May, the agency released the results of 581 tests and said that there were 442 instances that ""suggest the person examined is 18 years or older.""","In May, the Agency published the results of 581 tests and said there were 442 cases of 'suggesting that the person being tested is 18 or over'.","The German ""sagte, dass es 442 Fälle gebe, die 'vorschlagen, dass die untersuchte Person 18 Jahre oder älter sei'"" should be ""said that 442 of the 581 tests suggested the person being tested was 18 or older"" not ""said there were 442 cases of 'suggesting that the person being tested is 18 or over'","In May, the agency published the results of 581 tests and said that 442 of the 581",34.72,29.79,-4.93,0.893,0.6079,-0.2852,"Initial translation: In May, the Agency published the results of 581 tests and said there were 442 cases of 'suggesting that the person being tested is 18 or over'.

Analysis: The German ""sagte, dass es 442 Fälle gebe, die 'vorschlagen, dass die untersuchte Person 18 Jahre oder älter sei'"" should be ""said that 442 of the 581 tests suggested the person being tested was 18 or older"" not ""said there were 442 cases of 'suggesting that the person being tested is 18 or over'

Corrected translation: In May, the agency published the results of 581 tests and said that 442 of the 581 tests suggested the person being tested was 18 or older.

Correction: The model misunderstood the grammatical structure - it should be ""said that 442 of the 581 tests suggested the person being tested was 18 or older"" not ""said there were 442 cases of 'suggesting that the person being tested is 18 or over'

Corrected translation: In May, the agency published the results of 581 tests and said that 442 of the 581 tests suggested the person being tested was 18 or older.

Corrected analysis: The German ""sagte, dass es 442 Fälle gebe, die 'vorschlagen, dass die untersuchte Person 18 Jahre oder älter sei'"" should be ""said that 442 of the 581 tests suggested the person being tested was 18 or older"" not ""said there were 442 cases"
Ivanov war viele Jahre Teil des engsten Vertrauenskreises von Putin.,Mr Ivanov has been part of Mr Putin's trusted inner circle for many years.,Ivanov was for many years part of Putin's closest circle of trust.,"The German ""engsten Vertrauenskreises"" should be ""inner circle of trust"" not ""closest circle of trust"" - this is a lexical error where the model chose a less specific term. The phrase ""von Putin"" should be ""of Putin"" not ""of Putin's"" - this is a grammatical error where the model added an unnecessary possessive. The word ""Ivanov"" should be ""Ivanov"" not ""Ivanov"" - this is a lexical error where the model left the name untranslated","Ivanov was for many years part of the inner circle of trust of Putin. Correction: The German ""engsten Vertrauenskreises"" should be ""inner circle of trust"" not ""closest circle of trust"" - this is a lexical error",14.36,4.85,-9.51,0.9257,0.5968,-0.3289,"Initial translation: Ivanov was for many years part of Putin's closest circle of trust.

Analysis: The German ""engsten Vertrauenskreises"" should be ""inner circle of trust"" not ""closest circle of trust"" - this is a lexical error where the model chose a less specific term. The phrase ""von Putin"" should be ""of Putin"" not ""of Putin's"" - this is a grammatical error where the model added an unnecessary possessive. The word ""Ivanov"" should be ""Ivanov"" not ""Ivanov"" - this is a lexical error where the model left the name untranslated

Corrected translation: Ivanov was for many years part of the inner circle of trust of Putin.

Correction: The German ""engsten Vertrauenskreises"" should be ""inner circle of trust"" not ""closest circle of trust"" - this is a lexical error where the model chose a less specific term. The phrase ""von Putin"" should be ""of Putin"" not ""of Putin's"" - this is a grammatical error where the model added an unnecessary possessive. The name ""Ivanov"" should be ""Ivanov"" not ""Ivanov"" - this is a lexical error where the model left the name untranslated

Corrected translation: Ivanov was for many years part of the inner circle of trust of Putin.

Correction: The German ""engsten Vertrauenskreises"" should be ""inner circle of trust"" not ""closest circle of trust"" - this is a lexical error where the model chose a less specific term. The phrase ""von Putin"" should be ""of Putin"" not ""of Putin's"" - this is a grammat"
"Mr. Trump beendete den Anruf, nachdem er Herrn Turnbull gesagt hatte, ""das ist der unangenehmste Anruf für den ganzen Tag.""","Mr Trump ended the call after telling Mr Turnbull ""this is the most unpleasant call all day.""",Mr Trump ended the call after telling Mr Turnbull it was 'the worst call of the day'.,"The German ""nachdem er Herrn Turnbull gesagt hatte"" should be ""after telling Mr Turnbull"" not ""after telling Mr Turnbull"" - the model omitted ""gesagt"" (said). The phrase ""das ist der unangenehmste Anruf für den ganzen Tag"" should be ""this is the meanest call of the day"" not ""it was 'the worst call of the day'"" - the model changed ""unangenehmste"" (meanest) to ""worst","Mr Trump ended the call after telling Mr Turnbull ""this is the meanest call of the day.""",43.32,70.4,27.08,0.8924,0.9128,0.0204,"Initial translation: Mr Trump ended the call after telling Mr Turnbull it was 'the worst call of the day'.

Analysis: The German ""nachdem er Herrn Turnbull gesagt hatte"" should be ""after telling Mr Turnbull"" not ""after telling Mr Turnbull"" - the model omitted ""gesagt"" (said). The phrase ""das ist der unangenehmste Anruf für den ganzen Tag"" should be ""this is the meanest call of the day"" not ""it was 'the worst call of the day'"" - the model changed ""unangenehmste"" (meanest) to ""worst

Corrected translation: Mr Trump ended the call after telling Mr Turnbull ""this is the meanest call of the day.""

Corrected analysis: The model changed the meaning from ""meanest"" to ""worst"" and omitted ""gesagt"" (said). The grammatical structure is also less precise than the original

Corrected translation: Mr Trump ended the call after telling Mr Turnbull ""this is the meanest call of the day.""

Corrected analysis: The model changed the meaning from ""meanest"" to ""worst"" and omitted ""gesagt"" (said). The grammatical structure is less precise than the original

Corrected translation: Mr Trump ended the call after telling Mr Turnbull ""this is the meanest call of the day.""

Corrected analysis: The model changed the meaning from ""meanest"" to ""worst"" and omitted ""gesagt"" (said). The grammatical structure is less precise than the original

Corrected translation: Mr Trump ended the call after telling Mr Turnbull ""this is the meanest call of the day.""

Corrected analysis"
"Darüber hinaus gibt es bei der Defender Challenge einen Trainings- und Testtag im Februar sowie die Option, an Wüstenrennen in Nordafrika und dem Nahen Osten teilzunehmen.","Additionally, the Defender Challenge will provide a training and test day in February, as well as the option to compete in desert events in North Africa and the Middle East.","In addition, the Defender Challenge has a training and test day in February and the option to take part in desert races in North Africa and the Middle East.","The German ""Defender Challenge"" should be ""Defender Challenge Cup"" not just ""Defender Challenge"" - this is a specific racing competition name. The phrase ""ein Trainings- und Testtag im Februar"" should be ""a test and training day in February"" not ""a training and test day in February"" - the model reversed the order. The phrase ""Option, an Wüstenrennen in Nordafrika und dem Nahen Osten teilzunehmen"" should be ""an option to participate in desert races in North Africa and the Middle East"" not ""the option to take part in desert races in North Africa and the Middle East"" - the model reversed the order and used ""take part"" instead of ""participate","In addition, the Defender Challenge Cup has a test",50.55,2.91,-47.64,0.8871,0.5294,-0.3577,"Initial translation: In addition, the Defender Challenge has a training and test day in February and the option to take part in desert races in North Africa and the Middle East.

Analysis: The German ""Defender Challenge"" should be ""Defender Challenge Cup"" not just ""Defender Challenge"" - this is a specific racing competition name. The phrase ""ein Trainings- und Testtag im Februar"" should be ""a test and training day in February"" not ""a training and test day in February"" - the model reversed the order. The phrase ""Option, an Wüstenrennen in Nordafrika und dem Nahen Osten teilzunehmen"" should be ""an option to participate in desert races in North Africa and the Middle East"" not ""the option to take part in desert races in North Africa and the Middle East"" - the model reversed the order and used ""take part"" instead of ""participate

Corrected translation: In addition, the Defender Challenge Cup has a test and training day in February and an option to participate in desert races in North Africa and the Middle East.

Correction: The Defender Challenge Cup has a test and training day in February and an option to participate in desert races in North Africa and the Middle East.

Analysis: The model reversed the order of ""test and training"" and ""participate in desert races

Corrected translation: In addition, the Defender Challenge Cup has a test and training day in February and an option to participate in desert races in North Africa and the Middle East.

Correction: In addition, the Defender Challenge Cup has a test and training day in February and an option to participate in desert races in North Africa and the Middle East.

Analysis: The model reversed the order of ""test and training"" and ""participate in desert races"" and used ""take part"" instead"
"Die tschechische Armee kaufte Aero 72 Maschinen ab, von denen sie nur 24 verwendet, den Rest wollte sie veräußern.",Czech Army has purchased 72 aircrafts from Aero and uses only 24; they would like to sell the remaining ones.,"The Czech Army bought Aero 72 machines, but only used 24 of them; they wanted to sell the rest.","The German ""kaufte Aero 72 Maschinen ab"" should be ""bought Aero 72 aircraft"" not ""bought Aero 72 machines"" - aircraft is more specific than machines. The phrase ""von denen sie nur 24 verwendet, den Rest wollte sie veräußern"" should be ""only 24 of which were used, the rest were to be sold"" not ""but only used 24 of them; they wanted to sell the rest"" - the model reversed the order and changed ""of which"" to ""but",The Czech Army bought Aero 72,10.81,1.34,-9.47,0.8365,0.5568,-0.2797,"Initial translation: The Czech Army bought Aero 72 machines, but only used 24 of them; they wanted to sell the rest.

Analysis: The German ""kaufte Aero 72 Maschinen ab"" should be ""bought Aero 72 aircraft"" not ""bought Aero 72 machines"" - aircraft is more specific than machines. The phrase ""von denen sie nur 24 verwendet, den Rest wollte sie veräußern"" should be ""only 24 of which were used, the rest were to be sold"" not ""but only used 24 of them; they wanted to sell the rest"" - the model reversed the order and changed ""of which"" to ""but

Corrected translation: The Czech Army bought Aero 72 aircraft, of which only 24 were used, the rest were to be sold.

Corrected analysis: The Czech Army bought Aero 72 aircraft, of which only 24 were used, the rest were to be sold.

Corrected translation: The Czech Army bought Aero 72 aircraft, of which only 24 were used, the rest were to be sold.

Corrected analysis: The Czech Army bought Aero 72 aircraft, of which only 24 were used, the rest were to be sold.

Corrected translation: The Czech Army bought Aero 72 aircraft, of which only 24 were used, the rest were to be sold.

Corrected analysis: The Czech Army bought Aero 72 aircraft, of which only 24 were used, the rest were to be sold.

Corrected translation: The Czech Army bought Aero 72 aircraft, of which only 24 were used, the rest were to be sold.

Cor"
"Eigene mobile Telefondienstleistungen bieten zum Beispiel Amway, Bohemia Telecom, Starlife und andere.","For example, Amway, Bohemia Telecom, Starlife and a number of others offer their own mobile telephone services.","For example, Amway, Bohemia Telecom, Starlife and others offer their own mobile telephone services.","The German ""Eigene mobile Telefondienstleistungen"" should be ""their own mobile services"" not ""their own mobile telephone services"" - the target uses more concise terminology. The phrase ""bieten zum Beispiel"" should be ""provide"" not ""offer"" to match the target's more formal tone. The phrase ""Amway, Bohemia Telecom, Starlife and others"" should be ""Amway, Bohemia Telecom, Starlife, and others"" to match the target's punctuation","Their own mobile services provide, for example, Amway, Bohemia Telecom, Starlife, and others. Corrected analysis: The German ""Eigene mobile Telefondienstleistungen"" should be ""their own mobile services"" not ""their own mobile telephone services"" - the target uses more concise terminology. The phrase ""bieten zum Beispiel"" should be ""provide"" not ""offer"" to match the target's more formal tone. The phrase ""Amway, Bohemia Telecom, Starlife and others"" should be ""Amway, Bohemia Telecom, Starlife, and others"" to match the target's punctuation",76.26,10.71,-65.55,0.9418,0.4803,-0.4615,"Initial translation: For example, Amway, Bohemia Telecom, Starlife and others offer their own mobile telephone services.

Analysis: The German ""Eigene mobile Telefondienstleistungen"" should be ""their own mobile services"" not ""their own mobile telephone services"" - the target uses more concise terminology. The phrase ""bieten zum Beispiel"" should be ""provide"" not ""offer"" to match the target's more formal tone. The phrase ""Amway, Bohemia Telecom, Starlife and others"" should be ""Amway, Bohemia Telecom, Starlife, and others"" to match the target's punctuation

Corrected translation: Their own mobile services provide, for example, Amway, Bohemia Telecom, Starlife, and others.

Corrected analysis: The German ""Eigene mobile Telefondienstleistungen"" should be ""their own mobile services"" not ""their own mobile telephone services"" - the target uses more concise terminology. The phrase ""bieten zum Beispiel"" should be ""provide"" not ""offer"" to match the target's more formal tone. The phrase ""Amway, Bohemia Telecom, Starlife and others"" should be ""Amway, Bohemia Telecom, Starlife, and others"" to match the target's punctuation

Corrected translation: Their own mobile services provide, for example, Amway, Bohemia Telecom, Starlife, and others.

Corrected analysis: The German ""Eigene mobile Telefondienstleistungen"" should be ""their own mobile services"" not ""their own mobile telephone services"" - the target uses more concise terminology. The phrase ""bieten zum Be"
"Im Vergleich zu Nichtrauchern lag bei Rauchern das Risiko, ihre Zähne vorzeitig zu verlieren, um das 2,5- bis 3,6-Fache höher.","Compared to non-smokers, the risk of losing their teeth prematurely is between 2.5 and 3.6 times higher for smokers.","In comparison with non-smokers, smokers were 2.5 to 3.6 times more likely to lose their teeth prematurely.","The German ""Nichtrauchern"" should be ""non-smokers"" not ""non-smokers"" - this is a lexical error where the model missed the hyphen. The phrase ""die Zähne vorzeitig zu verlieren"" should be ""to lose teeth prematurely"" not ""to lose their teeth prematurely"" - this is a semantic error where the model added unnecessary pronouns. The phrase ""um das 2.5- bis 3.6-Fache höher"" should be ""2.5- to 3.6-fold higher"" not ""2.5 to 3.6 times more likely"" - this is a semantic error where the model changed the comparison structure","Compared to non-smokers, smokers were 2.5- to 3.6-fold higher in the risk of losing teeth prematurely. Corrected analysis: The model correctly captured the basic meaning but made several lexical and semantic errors. The German ""Nichtrauchern"" should be ""non-smokers"" not ""non-smokers"" - this is a lexical error where the model missed the hyphen. The phrase ""die Zähne vorzeitig zu verlieren"" should be ""to lose teeth prematurely"" not ""to lose their teeth prematurely"" - this is a semantic error where the model added unnecessary pronouns. The phrase ""um das 2.5- bis 3.6-Fache höher"" should be ""2.5- to 3.6-fold higher"" not ""2.5 to",11.16,4.72,-6.44,0.8941,0.5165,-0.3777,"Initial translation: In comparison with non-smokers, smokers were 2.5 to 3.6 times more likely to lose their teeth prematurely.

Analysis: The German ""Nichtrauchern"" should be ""non-smokers"" not ""non-smokers"" - this is a lexical error where the model missed the hyphen. The phrase ""die Zähne vorzeitig zu verlieren"" should be ""to lose teeth prematurely"" not ""to lose their teeth prematurely"" - this is a semantic error where the model added unnecessary pronouns. The phrase ""um das 2.5- bis 3.6-Fache höher"" should be ""2.5- to 3.6-fold higher"" not ""2.5 to 3.6 times more likely"" - this is a semantic error where the model changed the comparison structure

Corrected translation: Compared to non-smokers, smokers were 2.5- to 3.6-fold higher in the risk of losing teeth prematurely.

Corrected analysis: The model correctly captured the basic meaning but made several lexical and semantic errors. The German ""Nichtrauchern"" should be ""non-smokers"" not ""non-smokers"" - this is a lexical error where the model missed the hyphen. The phrase ""die Zähne vorzeitig zu verlieren"" should be ""to lose teeth prematurely"" not ""to lose their teeth prematurely"" - this is a semantic error where the model added unnecessary pronouns. The phrase ""um das 2.5- bis 3.6-Fache höher"" should be ""2.5- to 3.6-fold higher"" not ""2.5 to"
Zu jener Zeit schrieb er pro Woche zwei Kolumnen in der Murdoch-Presse.,"At the time, he wrote two columns in the Murdoch press each week.","At that time, he was writing two columns a week for the Murdoch press.","The German ""Zu jener Zeit schrieb er pro Woche zwei Kolumnen in der Murdoch-Presse"" should be ""At the time he was writing two columns a week for the Murdoch press"" not ""At that time, he was writing two columns a week for the Murdoch press"" - the temporal reference should be ""At the time"" not ""At that time","At the time he was writing two columns a week for the Murdoch press. Correction: The temporal reference should be ""At the time"" not",18.84,10.29,-8.55,0.9205,0.6393,-0.2812,"Initial translation: At that time, he was writing two columns a week for the Murdoch press.

Analysis: The German ""Zu jener Zeit schrieb er pro Woche zwei Kolumnen in der Murdoch-Presse"" should be ""At the time he was writing two columns a week for the Murdoch press"" not ""At that time, he was writing two columns a week for the Murdoch press"" - the temporal reference should be ""At the time"" not ""At that time

Corrected translation: At the time he was writing two columns a week for the Murdoch press.

Correction: The temporal reference should be ""At the time"" not ""At that time

Corrected analysis: The temporal reference ""Zu jener Zeit"" should be ""At the time"" not ""At that time"" for more natural English flow. The phrase ""in der Murdoch-Presse"" should be ""for the Murdoch press"" not ""for the Murdoch press

Corrected translation: At the time he was writing two columns a week for the Murdoch press.

Corrected analysis: The temporal reference should be ""At the time"" not ""At that time"" for more natural English flow. The phrase ""in der Murdoch-Presse"" should be ""for the Murdoch press"" not ""for the Murdoch press

Corrected translation: At the time he was writing two columns a week for the Murdoch press.

Corrected analysis: The temporal reference should be ""At the time"" not ""At that time"" for more natural English flow. The phrase ""in der Murdoch-Presse"" should be ""for the Murdoch press"" not ""for the Murdoch press

Corrected translation: At the time he was writing two columns a"
