original_row_index,source,reference,initial_translation,analysis,corrected_translation,initial_bleu,final_bleu,bleu_change,initial_comet,final_comet,comet_change
3431,"Die elf europäischen Touristen und ihre acht ägyptischen Begleiter, die elf Tage lang in der Wüste gefangenen gehalten wurden, wurden diesen Montag Nachmittag gesund und unversehrt in die ägyptische Hauptstadt zurückgebracht.",The eleven European tourists and their eight Egyptian escorts held captive for ten days in the desert have been returned on Monday afternoon unharmed to the Egyptian capital.,"The eleven European tourists and their eight Egyptian guides, who had been held captive in the desert for eleven days, were returned to the Egyptian capital in good health on Monday afternoon.","The German ""gefangenen gehalten"" should be ""were rescued"" not ""had been held captive"" - this is about rescue, not imprisonment. The phrase ""in der Wüste gefangenen gehalten"" should be ""held captive in the desert for 11 days"" not ""held captive in the desert for 11 days"" - the model omitted the crucial information that they were rescued. The word ""gesund und unversehrt"" should be ""in good health"" not ""in good health"" - this is about health condition, not overall well-being","The 11 European tourists and their eight Egyptian guides, who had been held captive in the desert for 11 days, were rescued on Monday afternoon and brought back to the Egyptian capital in good health.",36.58,27.11,-9.47,0.8761,0.8666,-0.0095
2042,"In Mecklenburg-Vorpommern stürzte die SPD von 35,6 Prozent vor fünf Jahren auf 24 Prozent ab.","In Mecklenburg-Vorpommern, the SPD plummeted from 35.6 percent to 24 percent in five years.","In Mecklenburg-Vorpommern, the SPD has fallen from 35.6 per cent five years ago to 24 per cent.","The German ""stürzte die SPD von 35.6 Prozent vor fünf Jahren auf 24 Prozent ab"" should be ""dropped from 35.6 percent five years ago to 24 percent"" not ""has fallen from 35.6 per cent five years ago to 24 per cent"" - the model changed ""dropped"" to ""has fallen","In Mecklenburg-Vorpommern, the SPD dropped from 35.6 percent five years ago to 24 percent.",27.13,41.21,14.08,0.9049,0.9264,0.0216
79,"Wie die Konjunktur auch immer liegt, es werden Niedrigstpreise gefordert, bestätigt der Vorsitzende des Gaststättengremiums von Barcelona, Gaietà Farràs.","Whatever conjuncture, everyone demanded a price war, confirms the president of the Gremi Restoration of Barcelona, Gaiet Farrs.","Whatever the conjuncture, low prices are being demanded, confirms the president of the Barcelona Restaurant Association, Gaietà Farràs.","The German ""Konjunktur"" should be ""economic situation"" not ""conjuncture"" - this is a lexical error where the model chose a less common term. The phrase ""es werden Niedrigstpreise gefordert"" should be ""lower prices are being asked"" not ""low prices are being demanded"" - this is a semantic error where the model added ""demanded"" which isn't in the source. The phrase ""bestätigt der Vorsitzende des Gaststättengremiums von Barcelona, Gaietà Farràs"" should be ""confirms Gaietà Farràs, president of the Barcelona Restaurant Association"" not ""confirms the president of the Barcelona Restaurant Association","According to the economic situation, lower prices are being asked, confirms Gaietà Farràs, president of the Barcelona Restaurant Association.",27.02,9.17,-17.86,0.7941,0.7003,-0.0938
4663,"4 Menschen getötet, nachdem Polizisten Gummigeschosse auf Demonstranten in Nepal schießen",4 Killed After Police Fire Rubber Bullets at Protesters in Nepal,4 people killed after police fire rubber bullets at demonstrators in Nepal.,"The German ""Gummigeschosse"" should be ""tear gas"" not ""rubber bullets"" - this is a lexical error where the model chose a different type of ammunition. The phrase ""auf Demonstranten schießen"" should be ""opened fire on demonstrators"" not ""fire rubber bullets at demonstrators"" - this is a semantic error where the model simplified the action. The word ""getötet"" should be ""killed"" not ""killed"" - this is a lexical error where the model chose the same word. The phrase ""nachdem"" should be ""after"" not ""after"" - this is a lexical error where the model chose the same word",4 people killed after police opened fire on demonstrators in Nepal with tear gas.,7.35,5.82,-1.53,0.8994,0.8257,-0.0737
3640,"Es ist nicht nur in unserer Nähe, es ist in uns', betonte er, wie um deutlich zu zeigen, dass er einen nationalen Gründertraum zu verwirklichen sucht.","Not only is it with us, but it's also us"", he insisted, to better show this he solicited a national founding myth.","It is not just in our neighbourhood, it is in ours', he stressed, in order to make it clear that he is a national dreamer.","The German ""Es ist nicht nur in unserer Nähe, es ist in uns'"" should be ""It's not just in our neighbourhood, it's in us"" not ""It is not just in our neighbourhood, it is in ours'","It's not just in our neighbourhood, it's in us, he stressed, in order to make it clear that he is a national dreamer.",4.69,5.83,1.15,0.6192,0.6399,0.0207
65,"""Human Rights First hatte lange Zeit über betont, dass die gegen Muslime gerichtete Gewalt, ebenso wie sämtliche Formen von Hassverbrechen als schwerer Gesetzesverstoβ gegen die Menschenrechte erachtet werden sollten"", fügte Paul Legendre, ein Verantwortlicher der Organisation, bei.","""Human Rights First has long stressed that acts of violence against Moslems, as well as all forms of hate crime, must be regarded as serious violations of human rights,"" adds one of the managers of the organisation, Paul Legendre.","'Human Rights First has long emphasised that violence against Muslims, as well as all forms of hate crime, should be seen as a serious breach of human rights', said Paul Legendre, a spokesman for the organisation.","The German ""Human Rights First"" should be ""Human Rights First"" but the model changed it to ""Human Rights First","""Human Rights First has long emphasised that violence against Muslims, as well as all forms of hate crime, should be seen as a serious breach of human rights,"" said Paul Legendre, a spokesman for the organisation.",31.12,42.25,11.13,0.8947,0.8983,0.0037
1811,"Dabei hat er selbst vor drei Jahren die Bush-Idee - frische Truppenkontingente in den durch den Bürgerkrieg geplagten Irak auszusenden - als ""unverantwortliche und in ihren Folgerungen karastrophische Entscheidung"" kritisiert.","While three years ago he himself criticised Bush's idea to send fresh troops to help in the beleaguered civil war in Iraq as ""an irresponsible decision with catastrophic consequences"".","Three years ago, he himself criticised the idea of sending fresh troops to the war-torn Iraq as an 'irresponsible and disastrous decision'.","The German ""Bush-Idee"" should be ""Bush's idea"" not ""the idea of sending fresh troops"" - this is about George W. Bush's decision, not about sending troops. The phrase ""frische Truppenkontingente"" should be ""fresh troops"" not ""fresh troops"" - this is about new troops, not fresh troops. The phrase ""auszusenden"" should be ""sending"" not ""sending"" - this is about sending, not about sending. The phrase ""als 'unverantwortliche und in ihren Folgerungen karastrophische Entscheidung'"" should be ""as an 'irresponsible and disastrous decision'"" not ""as an 'irresponsible and disastrous decision'"" - this is correct","Three years ago, he himself criticised Bush's idea - sending fresh troops to the war-torn Iraq - as an ""irresponsible and disastrous decision"".",9.65,19.26,9.61,0.8642,0.8638,-0.0004
1815,"Ich erwarte, dass sich Großbritannien von diesem Projekt distanziert in der Hoffnung, sich bei den USA einzuschmeicheln.","I expect the UK will distance itself from this project, hoping to cosy up to the US.",I expect that Britain will distance itself from this project in the hope of ingratiating itself with the Americans.,the translation accurately captures the meaning,I expect that Britain will distance itself from this project in the hope of ingratiating itself with the Americans.,28.73,28.73,0,0.8433,0.8433,0
1727,Von dem Brand waren auch eine Fernwärme- und eine Stromleitung betroffen.,A district heating pipe and a power supply line were also affected by the fire.,The fire also affected a gas pipe and an electricity cable.,"The German ""Fernwärme- und Stromleitung"" should be ""heating and electricity cable"" not ""gas pipe and electricity cable"" - this is about heating cables, not gas pipes. The phrase ""betroffen"" should be ""affected"" not ""affected"" - the model repeated the same word. The word ""Brand"" should be ""fire"" not ""fire"" - this is redundant",The fire also affected a heating and electricity cable.,7.89,6.3,-1.59,0.8161,0.8025,-0.0136
4918,"""Das ist ein echtes Problem, und es ist nicht weit hergeholt zu denken, dass die Leute sich dort ein Zimmer mieten und sich dann dort darauf einstellen, eine Übung aufzuzeichnen.","""That is a real concern and it's not far-fetched to think that people can rent a room and sit up there and videotape a practice.","This is a real problem, and it is not far-fetched to think that people will rent a room there and then focus on recording a workout.","The German ""Das ist ein echtes Problem"" should be ""This is a real issue"" not ""This is a real problem"" - ""issue"" is more specific than ""problem","""This is a real issue, and it is not far-fetched to think that people will rent a room there and then focus on recording a workout.""",28.09,26.49,-1.6,0.8569,0.8742,0.0173
2037,"Orange County Behörden wollten eine fünfspurige Autobahn durch die Stadt legen, um den Kennedy Boulevard zu ersetzen, die langsame zweispurige Hauptstraße der Gemeinde.","Orange County officials wanted to put a five-lane highway through town to replace Kennedy Boulevard, the community's puttering two-lane main street.","Orange County authorities wanted to build a five-lane highway through the town to replace Kennedy Boulevard, the slow two-lane main street of the municipality.","The German ""Orange County Behörden"" should be ""Orange County officials"" not ""Orange County authorities"" - more formal. The phrase ""wollten eine fünfspurige Autobahn durch die Stadt legen"" should be ""wanted to build a five-lane highway through the city"" not ""build a five-lane highway through the town"" - ""stadt"" (city) vs ""town","Orange County officials wanted to build a five-lane highway through the city to replace Kennedy Boulevard, the slow two-lane main street of the municipality.",40.74,45.92,5.19,0.9018,0.8998,-0.002
1461,"Viele an der Wall Street betrachten die neuen Gepäckgebühren als Zeichen dafür, dass die Fluggesellschaften genug Geld einnehmen, um nach Jahren der Verluste die Kosten von Flugreisen zu decken.",Many on Wall Street view the addition of baggage fees as a sign that airlines are charging enough money to cover the cost of air travel after years of losses.,Many on Wall Street see the new baggage fees as a sign that the airlines are making enough money to cover the cost of flying after years of losses.,"The German ""an der Wall Street"" should be ""on Wall Street"" not ""Many on Wall Street"" - this is a lexical error where the model changed the definite article to a quantifier. The phrase ""die neuen Gepäckgebühren"" should be ""the new baggage fees"" not ""the new baggage fees"" - this is a lexical error where the model omitted the definite article. The phrase ""die Fluggesellschaften"" should be ""airlines"" not ""the airlines"" - this is a lexical error where the model omitted the definite article. The phrase ""die Kosten von Flugreisen zu decken"" should be ""to cover the cost of flying"" not ""to cover the cost of flying"" - this is a lexical error where the model omitted the definite article","On Wall Street, the new baggage fees are seen as a sign that the airlines are making enough money to cover the cost of flying after years of losses.",54.54,42.98,-11.56,0.9042,0.8906,-0.0136
