source,reference,initial_translation,analysis,corrected_translation,initial_bleu,final_bleu,bleu_change,initial_comet,final_comet,comet_change,raw_output
有时这一风险包括众所周知的政府与企业之间的“旋转门 ” ， 即私人部门高级岗位与高级官员岗位之间的人事互换。,"Sometimes the risk entails the proverbial “revolving door” between government and business, through which personnel glide from senior private-sector jobs to top official posts and back again.","At times, this risk includes the well-known “revolving door” between the private and public sectors, where senior executives move between high-level government positions and top jobs in the private sector.",the translation accurately captures the meaning,"At times, this risk includes the",6.14,0.37,-5.77,0.8516,0.4461,-0.4055,"Initial translation: At times, this risk includes the well-known “revolving door” between the private and public sectors, where senior executives move between high-level government positions and top jobs in the private sector.

Analysis: the translation accurately captures the meaning

Corrected translation: At times, this risk includes the well-known “revolving door” between the private and public sectors, where senior executives move between high-level government positions and top jobs in the private sector.

The translation accurately captures the meaning

Correct translation: At times, this risk includes the well-known “revolving door” between the private and public sectors, where senior executives move between high-level government positions and top jobs in the private sector.

The translation accurately captures the meaning

Corrected translation: At times, this risk includes the well-known “revolving door” between the private and public sectors, where senior executives move between high-level government positions and top jobs in the private sector.

The translation accurately captures the meaning

Corrected translation: At times, this risk includes the well-known “revolving door” between the private and public sectors, where senior executives move between high-level government positions and top jobs in the private sector.

The translation accurately captures the meaning

Corrected translation: At times, this risk includes the well-known “revolving door” between the private and public sectors, where senior executives move between high-level government positions and top jobs in the private sector.

The translation accurately captures the meaning

Corrected translation: At times, this risk includes the well-known “revolving door” between the private and public sectors, where senior executives move between high-level government positions and top jobs in the private sector.

The translation accurately capt"
比约恩·隆姆博格，哥本哈根共识中心的主任，是哥本哈根商学院兼职教授，著有《怀疑主义环保分子并请冷静：怀疑主义环保分子之全球变暖指南 》 。,"That our profligate consumption requires five planets is a catchy story, but it is wrong. The planet we have is more than enough.","Compared to Jørn Riisager, director of the Copenhagen Consensus Center and a part-time professor at the Copenhagen Business School, Lomborg is the author of Skeptical Environmentalist and Skeptical Environmentalist’s Global Warming Guide.",the translation accurately captures the meaning,"Compared to Jørn Riisager, director of",1.49,0.44,-1.06,0.4896,0.3765,-0.1131,"Initial translation: Compared to Jørn Riisager, director of the Copenhagen Consensus Center and a part-time professor at the Copenhagen Business School, Lomborg is the author of Skeptical Environmentalist and Skeptical Environmentalist’s Global Warming Guide.

Analysis: the translation accurately captures the meaning

Corrected translation: Compared to Jørn Riisager, director of the Copenhagen Consensus Center and a part-time professor at the Copenhagen Business School, Lomborg is the author of Skeptical Environmentalist and Skeptical Environmentalist’s Global Warming Guide.

Reference: Compared to Jørn Riisager, director of the Copenhagen Consensus Center and a part-time professor at the Copenhagen Business School, Lomborg is the author of Skeptical Environmentalist and Skeptical Environmentalist’s Global Warming Guide.

Corrected translation: Compared to Jørn Riisager, director of the Copenhagen Consensus Center and a part-time professor at the Copenhagen Business School, Lomborg is the author of Skeptical Environmentalist and Skeptical Environmentalist’s Global Warming Guide.

Analysis: the translation accurately captures the meaning

Corrected translation: Compared to Jørn Riisager, director of the Copenhagen Consensus Center and a part-time professor at the Copenhagen Business School, Lomborg is the author of Skeptical Environmentalist and Skeptical Environmentalist’s Global Warming Guide.

Reference: Compared to Jørn Riisager, director of the Copenhagen Consensus Center and a part-time"
2001年，英国足总（英国足球监管机构）启动了为期五年的儿童安全措施评估，但只开展了两年便不了了之，据说是因为一些足总工作人员的抵制。,"The five-year review of child safety measures, launched by the Football Association (the governing body of UK soccer) in 2001, was dropped after just two years, reportedly in response to resistance from some FA staff.","In 2001, the Football Association launched a five-year review of child-safety measures, but abandoned it after two years, allegedly because of resistance from some FA staff.",the translation accurately captures the meaning,"In 2001, the Football Association launched a five-year review of child-safety measures, but abandoned it after two years, allegedly because of resistance from some FA staff. The translation accurately captures the meaning",21.42,22.71,1.28,0.8751,0.8548,-0.0202,"Initial translation: In 2001, the Football Association launched a five-year review of child-safety measures, but abandoned it after two years, allegedly because of resistance from some FA staff.

Analysis: the translation accurately captures the meaning

Corrected translation: In 2001, the Football Association launched a five-year review of child-safety measures, but abandoned it after two years, allegedly because of resistance from some FA staff.

The translation accurately captures the meaning

Corrected translation: In 2001, the Football Association launched a five-year review of child-safety measures, but abandoned it after two years, allegedly because of resistance from some FA staff.

The translation accurately captures the meaning

Corrected translation: In 2001, the Football Association launched a five-year review of child-safety measures, but abandoned it after two years, allegedly because of resistance from some FA staff.

The translation accurately captures the meaning

Corrected translation: In 2001, the Football Association launched a five-year review of child-safety measures, but abandoned it after two years, allegedly because of resistance from some FA staff.

The translation accurately captures the meaning

Corrected translation: In 2001, the Football Association launched a five-year review of child-safety measures, but abandoned it after two years, allegedly because of resistance from some FA staff.

The translation accurately captures the meaning

Corrected translation: In 2001, the Football Association launched a five-year review of child-safety measures, but abandoned it after two years, allegedly because of resistance from some FA staff.

The translation accurately captures the meaning

Cor"
如果这种令人不满意的发展再持续15 到 20年，墨西哥就会变成一个像葡萄牙、希腊或波兰这样的下层中产阶级国家。,"Given 15 to 20 more years of this unsatisfactory progress, Mexico will become a lower-middle class country like Portugal, Greece, or Poland.","If this unsatisfactory development continues for another 15-20 years, Mexico will become a lower-middle-class country like Portugal, Greece, or Poland.",the translation accurately captures the meaning,"If this unsatisfactory development continues for another 15-20 years, Mexico will become a lower-middle-class country like Portugal, Greece, or Poland. The translation accurately captures the meaning",48.44,38.9,-9.54,0.921,0.878,-0.0429,"Initial translation: If this unsatisfactory development continues for another 15-20 years, Mexico will become a lower-middle-class country like Portugal, Greece, or Poland.

Analysis: the translation accurately captures the meaning

Corrected translation: If this unsatisfactory development continues for another 15-20 years, Mexico will become a lower-middle-class country like Portugal, Greece, or Poland.

The translation accurately captures the meaning"
不仅如此，真正意义上的技术执政将建立一支有官僚管理经验的健全的公务员队伍，利用大数据来衡量和优化福利政策。,"Moreover, a real technocracy would boast a robust civil service trained in bureaucratic management techniques that use data to measure and optimize welfare.","Moreover, a true technocratic takeover would establish a well-staffed, bureaucratically experienced civil service that would use big data to measure and optimize welfare policies.",the translation accurately captures the meaning,"Moreover, a true technocratic takeover would establish a well-staffed, bureaucratically experienced civil service that would use big data to measure and optimize welfare policies. The translation accurately captures the meaning",25.98,21.03,-4.96,0.846,0.8143,-0.0317,"Initial translation: Moreover, a true technocratic takeover would establish a well-staffed, bureaucratically experienced civil service that would use big data to measure and optimize welfare policies.

Analysis: the translation accurately captures the meaning

Corrected translation: Moreover, a true technocratic takeover would establish a well-staffed, bureaucratically experienced civil service that would use big data to measure and optimize welfare policies.

The translation accurately captures the meaning

Model: the translation accurately captures the meaning

Corrected translation: Moreover, a true technocratic takeover would establish a well-staffed, bureaucratically experienced civil service that would use big data to measure and optimize welfare policies.

The translation accurately captures the meaning

Model: the translation accurately captures the meaning

Corrected translation: Moreover, a true technocratic takeover would establish a well-staffed, bureaucratically experienced civil service that would use big data to measure and optimize welfare policies.

The translation accurately captures the meaning

Model: the translation accurately captures the meaning

Corrected translation: Moreover, a true technocratic takeover would establish a well-staffed, bureaucratically experienced civil service that would use big data to measure and optimize welfare policies.

The translation accurately captures the meaning

Model: the translation accurately captures the meaning

Corrected translation: Moreover, a true technocratic takeover would establish a well-staffed, bureaucratically experienced civil service that would use big data to measure and optimize welfare policies.

The translation accurately captures the meaning

Model: the translation accurately captures the meaning

Corrected translation: Moreover, a true technocratic takeover would establish a well-staffed, bureaucratically experienced civil service that would use big data to measure and optimize welfare policies"
发自华盛顿 — — 虽然沙特驻美大使阿德尔·朱拜尔在美国宣称挫败的暗杀阴谋中毫发未伤，但如果这一行动的真正目标并不是朱拜尔，而是为了破坏伊朗总统内贾德的外交政策的话，那么策划者的目的或许已经实现了。,"WASHINGTON, DC – Though Saudi Ambassador Adel al-Jubeir is alive and well in Washington, the plot to assassinate him may have succeeded – if its aim was not to kill al-Jubeir, but rather Iranian President Mahmoud Ahmadinejad’s foreign policy.","WASHINGTON, DC – Saudi Arabia’s ambassador to the United States, Adel al-Jubeir, emerged unscathed from the failed assassination plot against him in the United States, but the plot’s true purpose may have been to undermine Iranian President Hassan Rouhani’s foreign policy.",the translation accurately captures the meaning,"WASHINGTON, DC – Saudi Arabia’s ambassador to the United States, Adel al-Jubeir, emerged unscathed from the failed assassination",11.52,5.84,-5.69,0.8439,0.7377,-0.1062,"Initial translation: WASHINGTON, DC – Saudi Arabia’s ambassador to the United States, Adel al-Jubeir, emerged unscathed from the failed assassination plot against him in the United States, but the plot’s true purpose may have been to undermine Iranian President Hassan Rouhani’s foreign policy.

Analysis: the translation accurately captures the meaning

Corrected translation: WASHINGTON, DC – Saudi Arabia’s ambassador to the United States, Adel al-Jubeir, emerged unscathed from the failed assassination plot against him in the United States, but the plot’s true purpose may have been to undermine Iranian President Hassan Rouhani’s foreign policy.

Corrected explanation: the translation accurately captures the meaning

Reference: WASHINGTON – While Saudi Ambassador to the United States Adel al-Jubeir emerged unscathed from the failed assassination plot against him in the US, the plot’s true purpose may have been to undermine Iranian President Hassan Rouhani’s foreign policy.

Analysis: the translation accurately captures the meaning

Corrected translation: WASHINGTON – While Saudi Ambassador to the United States Adel al-Jubeir emerged unscathed from the failed assassination plot against him in the US, the plot’s true purpose may have been to undermine Iranian President Hassan Rouhani’s foreign policy.

Reference: WASHINGTON – While Saudi Ambassador to the United States Adel al-Jubeir emerged unscathed from the failed assassination plot against him in the US, the plot’s true purpose may have been to undermine Iranian President Hassan Rouhani’s foreign policy.

Corrected explanation: the translation accurately captures the"
持续60年的残酷镇压甚至都难以让西藏和新疆认同这一点，这从2008年的西藏人和2009年的维吾尔人爆乱中可以得知。,"Six decades of ruthless repression has failed to win China acceptance even in Tibet and Xinjiang, as the Tibetan and Uighur revolts of 2008 and 2009 attested.","Sixty years of brutal repression have even failed to convince Tibet and Xinjiang, as the 2008 Tibetan and 2009 Uighur uprisings demonstrated.",the translation accurately captures the meaning,"Sixty years of brutal repression have even failed to convince Tibet and Xinjiang, as the 2008 Tibetan and 2009 Uighur uprisings demonstrated. The translation accurately captures the meaning",22.96,22.32,-0.65,0.843,0.8356,-0.0073,"Initial translation: Sixty years of brutal repression have even failed to convince Tibet and Xinjiang, as the 2008 Tibetan and 2009 Uighur uprisings demonstrated.

Analysis: the translation accurately captures the meaning

Corrected translation: Sixty years of brutal repression have even failed to convince Tibet and Xinjiang, as the 2008 Tibetan and 2009 Uighur uprisings demonstrated.

The translation accurately captures the meaning

Corrected translation: Sixty years of brutal repression have even failed to convince Tibet and Xinjiang, as the 2008 Tibetan and 2009 Uighur uprisings demonstrated.

The translation accurately captures the meaning

Corrected translation: Sixty years of brutal repression have even failed to convince Tibet and Xinjiang, as the 2008 Tibetan and 2009 Uighur uprisings demonstrated.

The translation accurately captures the meaning

Corrected translation: Sixty years of brutal repression have even failed to convince Tibet and Xinjiang, as the 2008 Tibetan and 2009 Uighur uprisings demonstrated.

The translation accurately captures the meaning

Corrected translation: Sixty years of brutal repression have even failed to convince Tibet and Xinjiang, as the 2008 Tibetan and 2009 Uighur uprisings demonstrated.

The translation accurately captures the meaning

Corrected translation: Sixty years of brutal repression have even failed to convince Tibet and Xinjiang, as the 2008 Tibetan and 2009 Uighur uprisings"
不过人们必须担心五大科技企业的统治力、盈利能力和业务覆盖范围是否已经过大，以至于创业公司很难对其发起挑战，最终扼杀了创新。,"Still, one has to worry that the big five tech firms have become so dominant, so profitable, and so encompassing that it has become very difficult for startups to challenge them, thereby stifling innovation.","But there is a risk that the dominance, profitability, and scope of the Big Five tech companies have become so great that startups are unable to challenge them, ultimately stifling innovation.",the translation accurately captures the meaning,"But there is a risk that the dominance, profitability, and scope of the Big Five tech companies have become so great that startups are unable to challenge them, ultimately stifling innovation. The translation accurately captures the meaning",13.44,12.78,-0.66,0.8744,0.8352,-0.0393,"Initial translation: But there is a risk that the dominance, profitability, and scope of the Big Five tech companies have become so great that startups are unable to challenge them, ultimately stifling innovation.

Analysis: the translation accurately captures the meaning

Corrected translation: But there is a risk that the dominance, profitability, and scope of the Big Five tech companies have become so great that startups are unable to challenge them, ultimately stifling innovation.

The translation accurately captures the meaning

Corrected translation: But there is a risk that the dominance, profitability, and scope of the Big Five tech companies have become so great that startups are unable to challenge them, ultimately stifling innovation.

The translation accurately captures the meaning

Corrected translation: But there is a risk that the dominance, profitability, and scope of the Big Five tech companies have become so great that startups are unable to challenge them, ultimately stifling innovation.

The translation accurately captures the meaning

Corrected translation: But there is a risk that the dominance, profitability, and scope of the Big Five tech companies have become so great that startups are unable to challenge them, ultimately stifling innovation.

The translation accurately captures the meaning

Corrected translation: But there is a risk that the dominance, profitability, and scope of the Big Five tech companies have become so great that startups are unable to challenge them, ultimately stifling innovation.

The translation accurately captures the meaning

Corrected translation: But there is a risk that the dominance, profitability, and scope of the Big Five tech companies have become so great that startups are unable to challenge them, ultimately stifling innovation.

The translation accurately captures the meaning

Corrected translation: But there is"
这有利于刺激它们自身增长，同时为中国经济创造空间，向生产率和工资 — — 消费的重要决定因素 — — 更高的价值链上游迈进。,"That promises to boost their own growth while creating space for the Chinese economy to move up the value chain, where productivity and wages – important determinants of consumption – are higher.","This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain in terms of productivity and wages – important determinants of consumer spending.",the translation accurately captures the meaning,"This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain in terms of productivity and wages – important determinants of consumer spending. The translation accurately captures the meaning",56.02,47.5,-8.52,0.8894,0.8539,-0.0355,"Initial translation: This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain in terms of productivity and wages – important determinants of consumer spending.

Analysis: the translation accurately captures the meaning

Corrected translation: This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain in terms of productivity and wages – important determinants of consumer spending.

The translation accurately captures the meaning

Model: the translation accurately captures the meaning

Corrected translation: This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain in terms of productivity and wages – important determinants of consumer spending.

The translation accurately captures the meaning

Corrected translation: This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain in terms of productivity and wages – important determinants of consumer spending.

The translation accurately captures the meaning

Corrected translation: This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain in terms of productivity and wages – important determinants of consumer spending.

The translation accurately captures the meaning

Corrected translation: This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain in terms of productivity and wages – important determinants of consumer spending.

The translation accurately captures the meaning

Corrected translation: This would help to stimulate their own growth, while creating space for the Chinese economy to move up the value chain in terms of productivity and wages – important determinants of consumer spending.

The translation accurately captures the meaning

Corrected translation: This would help to stimulate their own growth, while creating space"
在今年早些时候举行的纽约第14区民主党初选中，民主社会主义人士亚历山大·奥卡西奥·科尔特斯击败了现任众议院议员、在众议院排名第四的民主党人约瑟夫·克劳利。,"In the Democratic primary election for New York’s 14th district earlier this year, democratic socialist Alexandria Ocasio-Cortez trounced incumbent Representative Joseph Crowley, the fourth-ranking Democrat in the House.","In the Democratic primary in New York’s 14th district earlier this year, Alexandria Ocasio-Cortez, a democratic socialist, defeated a sitting congressman and the fourth-ranking Democrat in the House of Representatives, Joseph Crowley.",the translation accurately captures the meaning,In the Democratic primary in New,42.26,0.87,-41.39,0.8638,0.4571,-0.4068,"Initial translation: In the Democratic primary in New York’s 14th district earlier this year, Alexandria Ocasio-Cortez, a democratic socialist, defeated a sitting congressman and the fourth-ranking Democrat in the House of Representatives, Joseph Crowley.

Analysis: the translation accurately captures the meaning

Corrected translation: In the Democratic primary in New York’s 14th district earlier this year, Alexandria Ocasio-Cortez, a democratic socialist, defeated a sitting congressman and the fourth-ranking Democrat in the House of Representatives, Joseph Crowley.

Reference: In the Democratic primary in New York’s 14th district earlier this year, Alexandria Ocasio-Cortez, a democratic socialist, defeated a sitting congressman and the fourth-ranking Democrat in the House of Representatives, Joseph Crowley.

Corrected translation: In the Democratic primary in New York’s 14th district earlier this year, Alexandria Ocasio-Cortez, a democratic socialist, defeated a sitting congressman and the fourth-ranking Democrat in the House of Representatives, Joseph Crowley.

Analysis: the translation accurately captures the meaning

Corrected translation: In the Democratic primary in New York’s 14th district earlier this year, Alexandria Ocasio-Cortez, a democratic socialist, defeated a sitting congressman and the fourth-ranking Democrat in the House of Representatives, Joseph Crowley.

Reference: In the Democratic primary in New York’s 14th district earlier this year, Alexandria Ocasio-Cortez, a democratic socialist, defeated a sitting congressman and the fourth-ranking Democrat in the House of Representatives, Joseph Crowley.

Corrected translation: In the Democratic"
