original_row_index,source,reference,prediction,bleu,comet
3431,"Die elf europäischen Touristen und ihre acht ägyptischen Begleiter, die elf Tage lang in der Wüste gefangenen gehalten wurden, wurden diesen Montag Nachmittag gesund und unversehrt in die ägyptische Hauptstadt zurückgebracht.",The eleven European tourists and their eight Egyptian escorts held captive for ten days in the desert have been returned on Monday afternoon unharmed to the Egyptian capital.,"The eleven European tourists and their eight Egyptian companions, who had been held captive in the desert for eleven days, were returned to the Egyptian capital in good health and unharmed on Monday afternoon.",34.86,0.8812
2042,"In Mecklenburg-Vorpommern stürzte die SPD von 35,6 Prozent vor fünf Jahren auf 24 Prozent ab.","In Mecklenburg-Vorpommern, the SPD plummeted from 35.6 percent to 24 percent in five years.","In Mecklenburg-Vorpommern, the SPD went from 35.6 percent five years ago to 24 percent.",41.21,0.9039
79,"Wie die Konjunktur auch immer liegt, es werden Niedrigstpreise gefordert, bestätigt der Vorsitzende des Gaststättengremiums von Barcelona, Gaietà Farràs.","Whatever conjuncture, everyone demanded a price war, confirms the president of the Gremi Restoration of Barcelona, Gaiet Farrs.","Whatever the state of the economy, low prices are demanded, confirms the president of the Barcelona restaurant association, Gaietà Farràs.",23.52,0.7701
4663,"4 Menschen getötet, nachdem Polizisten Gummigeschosse auf Demonstranten in Nepal schießen",4 Killed After Police Fire Rubber Bullets at Protesters in Nepal,4 people killed after police fire rubber bullets at Nepal protesters,4.93,0.9084
3640,"Es ist nicht nur in unserer Nähe, es ist in uns', betonte er, wie um deutlich zu zeigen, dass er einen nationalen Gründertraum zu verwirklichen sucht.","Not only is it with us, but it's also us"", he insisted, to better show this he solicited a national founding myth.","It's not just in our neighborhood, it's in ours,' he emphasized, as if to make clear that he is seeking to realize a national founding dream.",6.31,0.6618
65,"""Human Rights First hatte lange Zeit über betont, dass die gegen Muslime gerichtete Gewalt, ebenso wie sämtliche Formen von Hassverbrechen als schwerer Gesetzesverstoβ gegen die Menschenrechte erachtet werden sollten"", fügte Paul Legendre, ein Verantwortlicher der Organisation, bei.","""Human Rights First has long stressed that acts of violence against Moslems, as well as all forms of hate crime, must be regarded as serious violations of human rights,"" adds one of the managers of the organisation, Paul Legendre.","""Human Rights First has long stressed that anti-Muslim violence, as well as all forms of hate crimes, should be treated as serious violations of human rights,"" added Paul Legendre, a spokesman for the organization.",46.81,0.8928
1811,"Dabei hat er selbst vor drei Jahren die Bush-Idee - frische Truppenkontingente in den durch den Bürgerkrieg geplagten Irak auszusenden - als ""unverantwortliche und in ihren Folgerungen karastrophische Entscheidung"" kritisiert.","While three years ago he himself criticised Bush's idea to send fresh troops to help in the beleaguered civil war in Iraq as ""an irresponsible decision with catastrophic consequences"".","Three years ago, he himself criticised the Bush idea of sending fresh troops to Iraq as ""irresponsible and catastrophic"".",11.9,0.8459
1815,"Ich erwarte, dass sich Großbritannien von diesem Projekt distanziert in der Hoffnung, sich bei den USA einzuschmeicheln.","I expect the UK will distance itself from this project, hoping to cosy up to the US.",I expect Britain to distance itself from this project in the hope of currying favour with the United States.,23.08,0.8642
1727,Von dem Brand waren auch eine Fernwärme- und eine Stromleitung betroffen.,A district heating pipe and a power supply line were also affected by the fire.,The fire also affected a district heating and a power line.,14.51,0.8735
4918,"""Das ist ein echtes Problem, und es ist nicht weit hergeholt zu denken, dass die Leute sich dort ein Zimmer mieten und sich dann dort darauf einstellen, eine Übung aufzuzeichnen.","""That is a real concern and it's not far-fetched to think that people can rent a room and sit up there and videotape a practice.","""It's a real problem, and it's not far-fetched to think that people will rent a room there and then set themselves up to record a workout.",33.66,0.8611
2037,"Orange County Behörden wollten eine fünfspurige Autobahn durch die Stadt legen, um den Kennedy Boulevard zu ersetzen, die langsame zweispurige Hauptstraße der Gemeinde.","Orange County officials wanted to put a five-lane highway through town to replace Kennedy Boulevard, the community's puttering two-lane main street.","Orange County officials wanted to build a five-lane highway through the city to replace the slow two-lane Kennedy Boulevard, the town's main thoroughfare.",36.76,0.9074
1461,"Viele an der Wall Street betrachten die neuen Gepäckgebühren als Zeichen dafür, dass die Fluggesellschaften genug Geld einnehmen, um nach Jahren der Verluste die Kosten von Flugreisen zu decken.",Many on Wall Street view the addition of baggage fees as a sign that airlines are charging enough money to cover the cost of air travel after years of losses.,Many on Wall Street see the new baggage fees as a sign that the airlines are making enough money to cover the cost of air travel after years of losses.,67.89,0.9132
