source,reference,prediction
有时这一风险包括众所周知的政府与企业之间的“旋转门 ” ， 即私人部门高级岗位与高级官员岗位之间的人事互换。,"Sometimes the risk entails the proverbial “revolving door” between government and business, through which personnel glide from senior private-sector jobs to top official posts and back again.","At times, this risk includes the well-known “revolving door” between government and the private sector, in which senior positions in the private sector are filled by former senior officials."
比约恩·隆姆博格，哥本哈根共识中心的主任，是哥本哈根商学院兼职教授，著有《怀疑主义环保分子并请冷静：怀疑主义环保分子之全球变暖指南 》 。,"That our profligate consumption requires five planets is a catchy story, but it is wrong. The planet we have is more than enough.","Bjørn Lomborg, Director of the Copenhagen Consensus Center, is an adjunct professor at the Copenhagen Business School and author of The Skeptical Environmentalist: Measuring the Real State of the World."
2001年，英国足总（英国足球监管机构）启动了为期五年的儿童安全措施评估，但只开展了两年便不了了之，据说是因为一些足总工作人员的抵制。,"The five-year review of child safety measures, launched by the Football Association (the governing body of UK soccer) in 2001, was dropped after just two years, reportedly in response to resistance from some FA staff.","In 2001, the Football Association (FA), England’s football governing body, launched a five-year child-safety review, which lasted only two years, reportedly because of resistance from some FA staff."
如果这种令人不满意的发展再持续15 到 20年，墨西哥就会变成一个像葡萄牙、希腊或波兰这样的下层中产阶级国家。,"Given 15 to 20 more years of this unsatisfactory progress, Mexico will become a lower-middle class country like Portugal, Greece, or Poland.","If this unsatisfactory development continues for another 15-20 years, Mexico will become a lower-middle-income country like Portugal, Greece, or Poland."
不仅如此，真正意义上的技术执政将建立一支有官僚管理经验的健全的公务员队伍，利用大数据来衡量和优化福利政策。,"Moreover, a real technocracy would boast a robust civil service trained in bureaucratic management techniques that use data to measure and optimize welfare.","Moreover, genuine technocratic rule would establish a competent cadre of civil servants with experience in bureaucratic management, using big data to measure and optimize welfare policies."
发自华盛顿 — — 虽然沙特驻美大使阿德尔·朱拜尔在美国宣称挫败的暗杀阴谋中毫发未伤，但如果这一行动的真正目标并不是朱拜尔，而是为了破坏伊朗总统内贾德的外交政策的话，那么策划者的目的或许已经实现了。,"WASHINGTON, DC – Though Saudi Ambassador Adel al-Jubeir is alive and well in Washington, the plot to assassinate him may have succeeded – if its aim was not to kill al-Jubeir, but rather Iranian President Mahmoud Ahmadinejad’s foreign policy.","WASHINGTON, DC – Although Saudi Arabia’s ambassador to the United States, Adel al-Jubeir, survived an alleged assassination plot in the US, the plotters may have achieved their goal if their target was not Jubeir, but rather to undermine Iranian President Hassan Rouhani’s diplomatic initiatives."
持续60年的残酷镇压甚至都难以让西藏和新疆认同这一点，这从2008年的西藏人和2009年的维吾尔人爆乱中可以得知。,"Six decades of ruthless repression has failed to win China acceptance even in Tibet and Xinjiang, as the Tibetan and Uighur revolts of 2008 and 2009 attested.","Sixty years of brutal repression have been insufficient to make Tibetans and Uyghurs accept that, as evidenced by the riots in Tibet in 2008 and in Xinjiang in 2009."
不过人们必须担心五大科技企业的统治力、盈利能力和业务覆盖范围是否已经过大，以至于创业公司很难对其发起挑战，最终扼杀了创新。,"Still, one has to worry that the big five tech firms have become so dominant, so profitable, and so encompassing that it has become very difficult for startups to challenge them, thereby stifling innovation.","But one must worry that the dominance, profitability, and reach of the five tech giants are so great that it is difficult for startups to challenge them, ultimately stifling innovation."
这有利于刺激它们自身增长，同时为中国经济创造空间，向生产率和工资 — — 消费的重要决定因素 — — 更高的价值链上游迈进。,"That promises to boost their own growth while creating space for the Chinese economy to move up the value chain, where productivity and wages – important determinants of consumption – are higher.","This helps to stimulate their own growth, while creating space for China’s economy to move up the value chain, toward higher productivity and wages – important determinants of consumption, which accounts for a large share of the economy."
在今年早些时候举行的纽约第14区民主党初选中，民主社会主义人士亚历山大·奥卡西奥·科尔特斯击败了现任众议院议员、在众议院排名第四的民主党人约瑟夫·克劳利。,"In the Democratic primary election for New York’s 14th district earlier this year, democratic socialist Alexandria Ocasio-Cortez trounced incumbent Representative Joseph Crowley, the fourth-ranking Democrat in the House.","In the recent Democratic primary in New York’s 14th Congressional District, the democratic socialist Alexandria Ocasio-Cortez defeated Representative Joseph Crowley, the fourth-ranking Democrat in the House."
他的支持是2006年玻利维亚总统埃沃·莫拉莱斯当选的决定因素，虽然引发了激烈的争论，但在其后的一年里他又支持了尼加拉瓜的丹尼尔·奥尔特加和厄瓜多尔的拉斐尔·科雷亚。,"His backing was a decisive influence in the election of Bolivia’s President Evo Morales in 2006, and the following year he supported Daniel Ortega in Nicaragua and Rafael Correa in Ecuador, though his impact on their victories is hotly debated.","His support was a decisive factor in the election of Evo Morales as President of Bolivia in 2006, though it was controversial, and he backed Daniel Ortega in Nicaragua and Rafael Correa in Ecuador in the following year."
比方说非洲和印度乡下都有不少自行车维修点、报摊和小商店，可以对店主进行培训，让他们学会安装并维护这些系统。,"For example, bicycle mechanics, who are plentiful in Africa and rural India, or small shop and kiosk owners could be trained to install and maintain these systems.","For example, there are many bicycle repair shops, stalls, and small stores in rural Africa and India that could be trained to install and maintain these systems."
里德在谈到史蒂夫·努钦（Steve Mnuchin ） — —前高盛执行副总裁 — — 就任财政部长的合适性时正是持有这一观点：,Reed made precisely this point in speaking to the suitability of Steve Mnuchin – a former Goldman Sachs executive vice president – as Treasury Secretary:,"When discussing the suitability of Steve Mnuchin, a former Goldman Sachs executive, for the position of Treasury secretary, he held this view:"
此外，人均欧盟生产率 — — 在1995年之前的20年中，欧洲的这一指标一直在向美国靠拢，到1995年时只比美国低5 % — —在欧元区危机前的十年中相对美国下降了10个百分点。,"Furthermore, per capita EU productivity, which had been converging on the US level for 20 years up to 1995, when Europe was only about 5% below the US, lost ten percentage points in relative terms in the decade preceding the eurozone crisis.","Moreover, per capita EU productivity – which, for 20 years prior to 1995, had been catching up to the US, and was only 5% lower in 1995 – fell by 10 percentage points relative to the US in the eurozone crisis’s first decade."
法德首脑11月中旬在法国多维尔提出倡议修订《里斯本条约 》 ， 把出台强制债务重组机制的时间定在2013年以后，也是为了避免短期内爆发减记潮所可能造成的冲击。,"The Franco-German initiative unveiled at Deauville in early November, which would require some possible measure of restructuring for debt issued after 2013, tried to avoid the immediate shock of a haircut.",French President Nicolas Sarkozy and German Chancellor Angela Merkel’s proposal in mid-November to revise the Lisbon Treaty to postpone until after 2013 the introduction of a compulsory debt-restructuring mechanism was also motivated by a desire to avoid short-term shocks.
而从前的敌人并没有被惩罚，而是被教育 — — 通过大量美国资金补助的文化和政治项目 — — 变得更像是美国人。,"And, instead of being punished, the former enemies were educated – through cultural and political programs, richly subsidized by US money – to be more like Americans.","Former enemies were not punished, but educated – through cultural and political projects funded by large amounts of US money – to become more like Americans."
囿于现金的朝鲜可能向出价最高者兜售核武器，买家可能是恐怖组织，也可能是同样认为自己需要这一终极武器的国家。,"A cash-strapped North Korea might be tempted to sell nuclear arms to the highest bidder, be it a terrorist group or some country that decided that it, too, needed the ultimate weapon.","Cash-strapped North Korea may sell its nuclear weapons to the highest bidder, which could be a terrorist group or another country that believes it needs the ultimate weapon."
如果他们失败 — — 如我们已经看到的 — — 那么其他人就会趁虚而入，可能打着救世主的未来的旗号行残暴之实。,"If they fail, as we have seen, others will fill the void, potentially with a call for mayhem in the name of messianic futurity.","If they fail – as we have already seen – others will step in, possibly with even worse consequences."
其他小型经济体（主要是欧盟的新成员，它们有很大的经常账户赤字）面临着资本流入突然逆转的风险；这可能已经在拉脱维亚，爱沙尼亚，冰岛以及新西兰发生。,"Other smaller economies (mostly the new members of the EU, which all have large current-account deficits) risk a sudden reversal of capital inflows; this may already be occurring in Latvia and Estonia, as well as in Iceland and New Zealand.","Other small economies (principally the EU’s new members, which have large current-account deficits) face the risk of a sudden reversal of capital inflows; this has already occurred in Latvia, Estonia, Iceland, and New Zealand."
中国需要用上述结构性改革带来的改革红利，包括市场活力和整体经济稳定性增长，来抵消GDP增速放缓的改革成本。,The deceleration in GDP growth that such reforms would cause would be more than offset by increased market dynamism and overall economic stability.,"China needs the reform dividends, including market dynamism and overall economic stability, that structural reforms can bring to offset the cost of slower GDP growth."
现在，美国不应该重复“这与伊斯兰教无关”之类的老生常谈，而应该承认美国已经成为激进伊斯兰与开明伊斯兰和法治之间的战斗的新战场。,"Instead of repeating like a broken record that “this has nothing to do with Islam,” it is time to admit that the US has become yet another theater in the battle between the Islam of the radicals and the Islam of enlightenment and the rule of law.","Rather than repeating the “this has nothing to do with Islam” mantra, the US should recognize that it has become a new battleground in the fight between radical and moderate Islam and the rule of law."
肯尼迪言简意赅地给出了对问题的判断 ： “ 我们都陷入到危险的恶性循环之中，一方的怀疑引起对方的怀疑，新武器很快招来反制武装 。 ”,"Kennedy diagnosed the problem succinctly: “We are both caught up in a vicious and dangerous cycle in which suspicion on one side breeds suspicion on the other, and new weapons beget counter-weapons.”","John F. Kennedy distilled the judgment succinctly: “We are caught in a vicious circle of suspicion and counter-suspicion, of new weapons and counter-weapons.”"
但他们也密切跟进美国的政治，而在这些天来，许多人认为，领导层飘忽不定的风险已不再是金氏王朝所独有的现象。,"But they also follow American politics closely, and these days, many regard the dangers of erratic leadership as no longer being confined to Kim’s regime.","But they are also closely attuned to US politics, and, in recent days, many have argued that the risk of a leadership vacuum is no longer unique to the Kim dynasty."
中国的高层人士很快从国际经验中认识到应对企业债务问题将会限制短期经济增长和增加社会成本 — — 例如失业。,"Influential voices in China are quick to draw the lesson from international experience that tackling corporate debt can limit short-term growth and impose social costs, such as unemployment.","China’s policymakers soon learned from international experience that addressing corporate debt would limit short-term economic growth and increase social costs, such as unemployment."
如果对增加消费的新一轮强调能使中国储蓄相对GDP的比率下降5 % ， 那么中国依然会是全球储蓄率最高的国家，但这5%的下降将完全消灭中国的经常账户盈余。,"If the new emphasis on increased consumption shrank China’s saving rate by 5% of its GDP, it would still have the world’s highest saving rate. But a five-percentage-point fall would completely eliminate China’s current-account surplus.","If a renewed emphasis on increasing consumption were to reduce China’s saving relative to GDP by 5%, the country would still have the highest saving rate in the world, but its current-account surplus would be eliminated."
土耳其对伊拉克北部地区实施的有限的军事打击除开会使伊拉克当局作出公开谴责和口头宣称伊拉克的主权外，不会再引起其他反应。,A limited Turkish strike into northern Iraq would probably elicit little reaction beyond public condemnation and rhetorical assertions of Iraqi sovereignty.,"Turkey’s limited military strikes in northern Iraq would not elicit any other response from the Iraqi authorities, except for public denunciations and verbal declarations of Iraq’s sovereignty."
阿以冲突一个令人伤心的不断发生的状况就是受到羞辱的阿拉伯一方并没有因为任何一次战争的失败而达成和平协议，正如以色列所取得的任何压倒性胜利并没有使它的领导表现出胜利者的大度。,"It has been a sadly recurrent condition of the Arab-Israeli conflict that no war lost by a humiliated Arab side has ever ushered in a peace settlement, just as no war overwhelmingly won by Israel has ever led its leaders to be magnanimous in victory.","The tragic recurring pattern in the Arab-Israeli conflict is that the humiliated Arab side does not make peace after any defeat in war, just as Israel’s leaders do not show magnanimity after any overwhelming victory."
小学和中学的努力有助于在女生中培养更多样化的兴趣，让有才华的年轻女性获得她们所需要的工具，在关键经济部门做出重要贡献。,"Efforts by primary and secondary schools could help to foster more diverse interests among female students, giving talented young women the tools they need to make important contributions to key economic sectors.","Efforts in primary and secondary schools help to foster more diverse interests among girls, giving talented young women the tools they need to make important contributions in key economic sectors."
在这一背景下，必须指出，尽管金正恩的和平提议是出于渴望重建饱受制裁摧残的朝鲜经济的动机，但改变一个惯于忍受极端艰难时期的国家的行为绝非仅靠制裁。,"In this context, it is important to note that, while Kim’s peace overtures are motivated by a desire to rebuild North Korea’s sanctions-battered economy, sanctions alone did not change the behavior of a country long used to enduring extreme hardship.","Against this backdrop, it must be noted that, while Kim’s peace proposal was motivated by a desire to revive the devastated North Korean economy, changing a country’s behavior is not just a matter of imposing sanctions."
"但那些刚刚遭遇房价泡沫爆破的国家则不太会产生另一场房价泡沫,因为趋向保守的政府政策可能会减少对住房的补贴，而这些国家当前的市场气氛似乎也无法催生泡沫。","But another housing bubble is not imminent in countries where one just burst. Conservative government policies will probably reduce subsidies to housing, and the current mood in these markets does not seem conducive to a bubble.","But countries that have just experienced a housing bust are unlikely to experience another one, because conservative government policies are likely to reduce subsidies to housing, and the current market climate does not seem conducive to a bubble."
与NCD有关的大部分健康问题 — — 慢性病痛、睡眠不规律、压抑、残疾和过早死亡 — — 大多与晚期或复杂病症，而不是早期和非复杂病症有关。,"Most health problems linked to NCDs – problems such as chronic pain, disordered sleep, depression, disability, and premature death – are associated with late-stage or complicated disease, rather than with early-stage or uncomplicated disease.","Most of the health problems associated with NCDs – chronic pain, insomnia, depression, disability, and premature death – are associated with late-stage or complex diseases, not early-stage or simple ones."
