source,reference,prediction
"Kurz nachdem sie ihre Beziehung aufgelöst hatte, wurde bekannt, dass sie schwanger war.","They decided to split, soon after they found out that she was pregnant.","Shortly after ending her relationship, it was announced that she was pregnant."
"Ich habe von folgendem Schema gehört: Die Webseite ist normalerweise im Ausland registriert, und russische Gesetze finden keine Anwendung.",I heard about this: normally the site is registered outside the area of applicability of the laws of Russia.,"I have heard of the following scheme: the website is usually registered abroad, and Russian laws do"
"""Stellt man eine statische Tafel auf, die vor einer Gefahr warnt, wird diese wahrscheinlich bald mit der Umgebung verfließen, und die Fahrer werden sie nicht mehr wahrnehmen"", meint Kořán.","""If a static table which warns against danger is installed, it will likely soon blend in with the surroundings and the drivers will not pay attention to it,"" Kořán warned.","""If you put up a static warning sign, it will soon blend in with the environment and"
"Wie ein AZ-Reporter berichtet, kam es auch auf der Gegenfahrbahn zu massiven Behinderungen - durch zahlreiche Gaffer.","As an AZ journalist reports, there were massive disruptions in the opposite lane as well – due to numerous rubberneckers.","According to an AZ reporter, there were also major obstructions on the other side of the road"
Ansonsten ging er mit seinen Verlierern in seiner Geburtsstadt allerdings überraschend sanft um und schob seine erste Niederlage als Münchner Coach lediglich auf den erneut mangelhaften Umgang mit Chancen.,"Apart from this, he quietly bypassed his native city with his losers and put his first defeat as Munich coach down to the inadequate handling of opportunities.","Otherwise, he dealt surprisingly gently with his losers in his home town and pushed his first defeat as"
"Aber in Anbetracht dessen, dass jede Attraktion für diese Gegenstände mehr Geld für die Branche bedeuten und einige Kunden in die Tiefen Sohos für mehr schicken könnte, gibt es nichts, um sich zu beschweren.","But, given that any attraction to these items could mean more money for the industry and send a few customers into the depths of Soho for more, there is little to complain about.",But given that each attraction for these items could mean more money for the industry and some customers deeper
"""Die Polizei hat eine Vorstellung von ihrem Aufenthaltsort, und unsere Bemühungen, sie zu lokalisieren, verstärken sich"", sagte Guglielmi.","""Police have an idea of their whereabouts but our efforts to locate that are intensifying,"" Guglielmi said.","""Police have an idea of where she is and our efforts to locate her are increasing,"" G"
"Nachdem die Diskussion ausgestrahlt wurde, explodierten die Sozialen Medien vor Missbilligung über Damons Kommentare.","After the discussion aired, social media exploded in disapproval over Damon's comments.","After the discussion aired, social media exploded with disapproval over Damon's comments."
"In dem Moment war ich sehr froh, dass ich schon vor gut zwei Jahren angefangen hatte, die Sprache zu lernen.","At that moment, I was very glad that I'd been learning the language for two years already.",At that moment I was very glad that I had started learning the language two years earlier.
"Die Männer wurden bei einem Überfall auf ein Haus in Sarghoda, in der östlichen Pandschab-Provinz festgenommen, teilte die amerikanische Botschaft in Pakistan der BBC mit.","The men were arrested in a raid on a house in Sarghoda in eastern Punjab province, Pakistan's US embassy told the BBC.","The men were arrested during a raid on a house in Sarghoda, in eastern Punjab"
"Nach einem Besuch des Hauptquartiers der Organisation in Moskau im Juli erklärte WADA-Generaldirektor Olivier Niggli, dass RUSADA sich ""in die richtige Richtung"" bewegt, um wieder eingesetzt zu werden.","Following a visit to the organization's headquarters in Moscow in July, WADA Director General Olivier Niggli stated that RUSADA is ""moving in the right direction"" to be reinstated.","Following a visit to the organisation's headquarters in Moscow in July, WADA director general Olivier N"
"Wortkarg gab er sich, der Coach des Fußball-Bezirksligisten VfL Wolbeck, zog sich erst mal (innerlich) zurück, um über die fehlende Leistungsbereitschaft auf dem Grün zu sinnieren.","Silently, the coach of the football district league club VfL Wolbeck first retreated (inwardly) to ponder over the lack of motivation on the playing field.",The coach of the regional league football team VfL Wolbeck kept his words to a minimum
"Mit Blick auf die deutliche Zunahme von rechtsmotivierten Straftaten und Angriffen auf Asylbewerber und Flüchtlingsunterkünfte sagte Maaßen, er würde in diesem Zusammenhang noch nicht von neuem rechten Terrorismus sprechen.","With regard to the clear increase in right-wing crimes and attacks on asylum seekers and refugee shelters, Maaßen said that he would not yet speak of a new right-wing terrorism.",In view of the clear increase in right-wing motivated crimes and attacks on asylum seekers and refugee accommodation
"Michael Hesemann: Wir Historiker reden da vom ""Fallstrick des Anachronismus"", also der Gefahr, Vergangenes nach heutigen moralischen Maßstäben zu bewerten.","Michael Hesemann: We historians talk here about ""the pitfall of anachronism"", that is, the danger of evaluating the past according to today's moral standards.","Michael Hesemann: Historians talk about the ""fallacy of anachronism"","
"Die Aufgabe des Notbremsassistenten besteht darin, mehr Druck auf die Bremsen im Falle eines kritischen Bremsmanövers, welches das System anhand der vom Fahrer ausgeführten Bremsstärke auf das Bremspedal erkennt, auszuüben.","What the emergency brake assistant does is increase the pressure on the brakes in the event of an emergency, which the system detects through the driver's pressure on the pedal.",The function of the emergency brake assistant is to apply more pressure to the brakes in the event of
"Manchmal hilft aber nicht mal der Restart, da hilft nichts anderes, als den kritischen Abschnitt aus dem Kopf zu lernen.",Sometimes the restarts are not enough and you need to learn a given section of the race by heart.,"Sometimes even a restart does not help, and the only thing to do is to forget the critical"
