original_row_index,source,reference,prediction,bleu,comet
3431,"Die elf europäischen Touristen und ihre acht ägyptischen Begleiter, die elf Tage lang in der Wüste gefangenen gehalten wurden, wurden diesen Montag Nachmittag gesund und unversehrt in die ägyptische Hauptstadt zurückgebracht.",The eleven European tourists and their eight Egyptian escorts held captive for ten days in the desert have been returned on Monday afternoon unharmed to the Egyptian capital.,"The 11 European tourists and their eight Egyptian guides, who had been held captive in the desert for 11 days, were returned in good health to the Egyptian capital on Monday afternoon.",29.86,0.8736
2042,"In Mecklenburg-Vorpommern stürzte die SPD von 35,6 Prozent vor fünf Jahren auf 24 Prozent ab.","In Mecklenburg-Vorpommern, the SPD plummeted from 35.6 percent to 24 percent in five years.","In Mecklenburg-Vorpommern, the SPD fell from 35.6 percent five years ago to 24 percent.",41.21,0.9217
79,"Wie die Konjunktur auch immer liegt, es werden Niedrigstpreise gefordert, bestätigt der Vorsitzende des Gaststättengremiums von Barcelona, Gaietà Farràs.","Whatever conjuncture, everyone demanded a price war, confirms the president of the Gremi Restoration of Barcelona, Gaiet Farrs.","Depending on the economic situation, low prices will be required, confirms the president of the Barcelona Restaurant Association, Gaietà Farràs.",22.02,0.7157
4663,"4 Menschen getötet, nachdem Polizisten Gummigeschosse auf Demonstranten in Nepal schießen",4 Killed After Police Fire Rubber Bullets at Protesters in Nepal,4 killed after police shoot rubber bullets at protesters in Nepal,8.91,0.9121
3640,"Es ist nicht nur in unserer Nähe, es ist in uns', betonte er, wie um deutlich zu zeigen, dass er einen nationalen Gründertraum zu verwirklichen sucht.","Not only is it with us, but it's also us"", he insisted, to better show this he solicited a national founding myth.","It's not just in our neighbourhood, it's in ours, he emphasised, in order to make it clear that he wants to realise a national entrepreneurial dream.",4.52,0.618
65,"""Human Rights First hatte lange Zeit über betont, dass die gegen Muslime gerichtete Gewalt, ebenso wie sämtliche Formen von Hassverbrechen als schwerer Gesetzesverstoβ gegen die Menschenrechte erachtet werden sollten"", fügte Paul Legendre, ein Verantwortlicher der Organisation, bei.","""Human Rights First has long stressed that acts of violence against Moslems, as well as all forms of hate crime, must be regarded as serious violations of human rights,"" adds one of the managers of the organisation, Paul Legendre.","""Human Rights First has long emphasized that violence against Muslims, as well as all forms of hate crimes, should be considered a serious violation of human rights,"" said Paul Legendre, a spokesman for the organization.",36.55,0.8943
1811,"Dabei hat er selbst vor drei Jahren die Bush-Idee - frische Truppenkontingente in den durch den Bürgerkrieg geplagten Irak auszusenden - als ""unverantwortliche und in ihren Folgerungen karastrophische Entscheidung"" kritisiert.","While three years ago he himself criticised Bush's idea to send fresh troops to help in the beleaguered civil war in Iraq as ""an irresponsible decision with catastrophic consequences"".","He himself criticised three years ago the Bush idea of sending fresh troops to the war-torn Iraq as an ""irresponsible and catastrophic decision.""",10.6,0.8772
1815,"Ich erwarte, dass sich Großbritannien von diesem Projekt distanziert in der Hoffnung, sich bei den USA einzuschmeicheln.","I expect the UK will distance itself from this project, hoping to cosy up to the US.",I expect Britain to distance itself from this project in the hope of ingratiating itself with the United States.,23.08,0.8477
1727,Von dem Brand waren auch eine Fernwärme- und eine Stromleitung betroffen.,A district heating pipe and a power supply line were also affected by the fire.,A gas line and an electricity line were also affected by the fire.,47.14,0.873
4918,"""Das ist ein echtes Problem, und es ist nicht weit hergeholt zu denken, dass die Leute sich dort ein Zimmer mieten und sich dann dort darauf einstellen, eine Übung aufzuzeichnen.","""That is a real concern and it's not far-fetched to think that people can rent a room and sit up there and videotape a practice.","""It's a real problem, and it's not far-fetched to think that people are renting a room there and then setting themselves up to record a workout.",31.2,0.8476
2037,"Orange County Behörden wollten eine fünfspurige Autobahn durch die Stadt legen, um den Kennedy Boulevard zu ersetzen, die langsame zweispurige Hauptstraße der Gemeinde.","Orange County officials wanted to put a five-lane highway through town to replace Kennedy Boulevard, the community's puttering two-lane main street.","Orange County officials wanted to build a five-lane highway through the town to replace Kennedy Boulevard, the town's slow two-lane main street.",58.91,0.917
